rent_price,additional_fees,location,area,room_num,floor,building_type,extra_space,flat_condition,advertiser_type,students_allowed,furnishings,elevator,parking_space,year_of_construction,additional_information,latitude,longitude,approximate_coordinates,adv_description,link
4 700 zł,1 100 zł/miesiąc,"ul. Bluszczańska, Siekierki, Mokotów, Warszawa, mazowieckie",58 m²,3,3/3,apartamentowiec,balkon,do zamieszkania,biuro nieruchomości,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2020,piwnica,52.208379,21.064333,False,"LUKSUSOWY APARTAMENT 3 POKOJE 58m2 z GARAŻEM UL. Bluszczańska

Apartament znajduje się na zamkniętym , chronionym osiedlu . Do dyspozycji duży zadbany teren osiedla. W sąsiedztwie siłownia , sklepy , komunikacja miejska
Położony na III piętrze z WINDĄ w III piętrowym budynku.
Apartament ma bardzo funkcjonalny rozkład:
*salon z aneksem kuchennym z wyjściem na balkon , WYSOKIEJ JAKOŚCI SPRZĘT AGD
* 2 sypialnie
* Łazienka z wc
*pomieszczenie gosp. z pralką
*balkon

APARTAMENT JEST UMEBLOWANY
Do dyspozycji miejsce postojowe w GARAŻU PODZIEMNYM

Cena za wynajem to 4700zł
Dodatkowo najemca opłaca czynsz administracyjny w wysokości 1100zł oraz prąd

OFERTA GODNA POLECENIA DLA OSÓB WYMAGAJĄCYCH.",https://www.otodom.pl/pl/oferta/apartament-3-pokoje-58m2-z-garazem-ul-bluszczanska-ID4qst3
2 800 zł,470 zł/miesiąc,"Wawrzyszew, Bielany, Warszawa, mazowieckie",31 m²,1,parter/7,blok,"ogródek, taras",do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2019,,52.2849,20.928829,True,"Ciche Mieszkanie z Ogródkiem na Bielanach.
Ogłoszenie prywatne. 
Ciesz się komfortem w tym słonecznym i spokojnym mieszkaniu z własnym ogródkiem, położonym na Bielanach. To doskonała lokalizacja, blisko stacji metra Młociny (750m), Galerii Młociny (1,3 km) oraz malowniczego lasu bielańskiego (1,9 km). Dodatkowo, w okolicy znajdziesz bogatą infrastrukturę oraz świetne połączenia komunikacyjne z pozostałymi dzielnicami miasta. Okolice ul. Sokratesa.
Co oferuje:
- Przestronny salon z kuchnią, łazienka z prysznicem oraz własny ogródek.
- W pełni wyposażona kuchnia z nowymi sprzętami: zmywarką, piekarnikiem, dużą lodówką, zamrażarką oraz płytą indukcyjną.
- Budynek z 2019 roku, wyposażony w ochronę oraz monitoring, z windą ułatwiającą codzienne poruszanie się.
- Prywatne miejsce parkingowe w cenie.
- Salon i kuchnia przeszły kapitalny remont w kwietniu 2024 roku, więc wszystko jest nowe i gotowe do użytku.
Koszty:
Cena najmu: 2800 PLN + ok. 470 PLN czynsz + media.
Zapraszam do kontaktu! ",https://www.otodom.pl/pl/oferta/mieszkanie-blisko-metra-z-wlasnym-ogrodkiem-garaz-ID4qrRW
4 500 zł,540 zł/miesiąc,"ul. Ludwiki, Czyste, Wola, Warszawa, mazowieckie","36,2 m²",2,5/10,apartamentowiec,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,,2023,"klimatyzacja, tylko dla niepalących",52.230189,20.96294,False,"Elegancki, 2 pokojowy, umeblowany apartament o powierzchni ponad 36m2  znajdujący się na 5 piętrze, w nowym apartamentowcu przy ul. Ludwiki 4A, na Woli przy stacji metro Płocka.

Apartament składa się z kuchni, salonu z jadalnią, sypialni, łazienki, holu oraz balkonu.
Kuchnia wyposażona w: lodówkę z zamrażarką, piekarnik, płytę ceramiczną, okap, zmywarkę. Na wyposażeniu mieszkania znajduje się również pralka.
W sypialni znajduje się szafa w zabudowie.
Mieszkanie posiada klimatyzację.

Czynsz za miesiąc 4500 PLN + czynsz administracyjny 540 PLN, plus media.

Umowa najmu okazjonalnego, na okres min. 12 miesięcy, kaucja 2x czynsz najmu.",https://www.otodom.pl/pl/oferta/elegancki-2-pokojowy-umeblowany-apartament-wola-ID4qrDy
17 000 zł,1 000 zł/miesiąc,"Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",77 m²,2,> 10/43,,taras,do zamieszkania,biuro nieruchomości,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2018,klimatyzacja,52.235449,21.001588,False,"We speak: PL, ENG , UA Mamy przyjemność zaprezentować Panstwu na wynajem przepiękne apartamenty w prestizowym, warszawskim apartamentowcu, przy ul. Twarda 4. Jest to inwestycja, która na nowo zdefiniowała pojęcie luksusu w kategorii nieruchomości nie tylko w Stolicy, ale i w całej Polsce. PARAMETRY NIERUCHOMOSCI Mamy w bazie wszystkie apartamenty Twarda 4 także Złotej 44, od 57 do 240 metrów . Nieruchomości są w pełni wykończenie , umeblowane i gotowe do zamieszkania. Na terenie budynku do wyłącznej dyspozycji mieszkanców Twarda 4 znajduje się 600 m2 piętra rekreacyjnego, na którym znajdziemy dużą siłownie , sauny i jacuzzi, ogród o powierzchni 500m2, część wspólna do odpoczynku, dwie sale konferencyjne do spotkań z klientami, piwniczki na wina oraz biliard . Mamy więcej ofert które nie publikujemy jako off-market . Zachęcam do kontaktu . Serdecznie zapraszam na prezentacje! KONTAKT : +48793022379 Przedstawiona wyżej oferta nie jest ofertą handlową w rozumieniu przepisów prawa, lecz ma charakter informacyjny. Dane dotyczące ofert uzyskano na podstawie oświadczeń wynajmujących. Jako biuro nieruchomości pobieramy za usługę pośrednictwa wynagrodzenie w formie prowizji.",https://www.otodom.pl/pl/oferta/dwupokojowy-apartament-w-cosmopolitan-ID4qtaG
5 000 zł,925 zł/miesiąc,"Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",50 m²,2,,kamienica,,do zamieszkania,biuro nieruchomości,,meble,nie,,,,52.266655,20.978513,True,"For rent an apartment with a high standard of finish and an area of 50m2 located on Krasinskiego Street in Zoliborz. This apartment is ideal for those looking for a comfortable place to live in a charming neighborhood.

The apartment is freshly renovated, presents a high standard of finishing and is fully equipped. The interiors are characterized by high ceilings (270 cm) and wooden oak plank flooring, which adds to its unique charm. Underfloor heating in the kitchen, bathroom and hallway provides a pleasant atmosphere on colder days. External blinds are installed in the windows.

The layout of the apartment includes a spacious kitchen, living room and bedroom with air conditioning, which guarantees comfortable conditions in every part of the apartment. In the bedroom there are practical built-in closets, additionally illuminated by internal lighting, which makes it easy to store things. The bathroom with shower.
In addition to the apartment belongs a basement (around 4m2)

Location:
The apartment is located in a tenement house in a charming neighborhood in Zoliborz. In the surroundings you can enjoy green areas and an internal park, which promotes active outdoor recreation. Numerous parks (Park Zeromskiego, Kępa Potocka, Park Cytadeli), stores and restaurants are available in the immediate vicinity, making daily life easier and more comfortable. The “Wilson Square” is in a 300m distance – from the square a convenient access to the subway, buses and streetcars provides quick and convenient access to the city center and other parts of Warsaw.

COST:
5000 PLN (rent) + 925 PLN (administrative fee) + electricity depending on usage
Deposit 10 000 PLN

CONTACT:
Iwona

+48 887 201 568


*as a real estate agency we charge a commission fee


Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/high-standard-2-room-apartment-near-city-center-ID4quyK
2 860 zł,540 zł/miesiąc,"ul. Krochmalna 2, Mirów, Wola, Warszawa, mazowieckie","28,5 m²",2,10/15,blok,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, pralka",tak,,1972,klimatyzacja,52.237827,20.994802,False,"Mieszkanie w centrum (ul. Krochmalna 2), świeżo po kapitalnym remoncie, nowe meble, nowe AGD, 28,5m2, 2 pok. Jasne, ciepłe., 2 860 zł plus czynsz.

Sporo przestrzeni – kuchnia otwarta na pokój, dodatkowy oddzielny pokój.

Klimatyzacja (pilot, chłodzenie, grzanie, wentylacja).

Częściowo umeblowane: lodówka, płyta gazowa, nowoczesny piekarnik elektryczny, okap, pralka, szafa suwana z lustrami.

Nowe antywłamaniowe drzwi Gerda, nowa elektryka. Piętro 10 (na 15). 6 nowych wind, domofon, ochrona. Okna na wschód (Atrium i dalej Park Mirowski).

Do metra „Rondo ONZ” – 600 m, do metra „Świętokrzyska”: 1300 m, najbliższe przystanki: 220 m  (tramwaje: 17, 33, 73, autobusy: 160, 7 linii nocnych) do skrzyżowania ul. Jana Pawła II z al. Solidarności 550 m. Biedronka, Żabka.

Opłata miesięczna: 2 860 zł plus czynsz 540 zł plus opłaty za media (woda, gaz, prąd, ogrzewanie, ew. internet, kablówka) - wg rachunków. Kaucja 3 400 zł. Opłata za pierwsze 3 miesiące płatna z góry (później co miesiąc). Umowa (najem okazjonalny).

Do negocjacji. Przez minimum rok nie podnosimy opłat.

Dostępne od zaraz.

 Tel. 723 072 986",https://www.otodom.pl/pl/oferta/centr-2pok-po-remoncie-klima-min-rok-bez-podwyzek-ID4qpNJ
12 950 zł,,"ul. Potoki, Stegny, Mokotów, Warszawa, mazowieckie","132,87 m²",4,1/2,apartamentowiec,balkon,do zamieszkania,biuro nieruchomości,,"piekarnik, lodówka, pralka, zmywarka",tak,garaż/miejsce parkingowe,2020,klimatyzacja,52.1782,21.0377,False,"130 METROWY APARTAMENT | ZNAKOMITA LOKALIZACJA | ZIELONA OKOLICA | WYSOKI STANDARD WYKOŃCZENIA | DOSTĘPNE OD LISTOPADA

Prezentujemy Państwu niepowtarzalny i przestronny 132-metrowy Apartament w zaprojektowanej i stylowo urządzonej przestrzeni, umiejscowiony na 1. piętrze w kameralnej inwestycji „Ogrody Potoki” zrealizowanej w 2020 roku

Jak wygląda przestrzeń w apartamencie?
Otwarta przestrzeń, nasycona światłem dziennym, podzielona na strefy o różnej funkcji.


Hol z zabudową szaf na okrycia wierzchnie i miejscem do przechowywania.

Funkcjonalna przestronna kuchnia wyposażona w sprzęt kuchenny najwyższej jakości tj. piekarnik, ekspres do kawy, płytę indukcyjną, lodówkę , okap, zmywarkę.

Salon z jadalnią, w którym znajduję się strefa wypoczynkowa i i strefa jadalniana. Przestrzeń stanowi niesamowite miejsce do wypoczynku i spędzania zarówno spokojnych poranków w towarzystwie kawy, jak i wieczorów z przyjaciółmi. Z salonu mamy możliwość wyjścia na balkon o powierzchni 10 m2 z którego rozpościera się widok na zieleń osiedla i płynący strumień.

Sypialnia typu Master z przestronną i funkcjonalną Garderobą oraz elegancką Łazienką z wolnostojącą wanną i prysznicem. Do sypialni przylega balkon, z którego rozciąga się widok na park.

Dwie sypialnie, które obecnie służą jako pokoje dla dzieci i gości. Istnieje możliwość przearanżowania pomieszczenia na gabinet.

Dwie osobne łazienki - większa z prysznicem oraz osobna łazienka jako toaleta dla gości


Apartament to propozycja dla tych, którzy cenią przestrzeń i wyjątkowy styl. Przestrzeń zaprojektowana z naciskiem na funkcjonalność przez doskonałą Warszawską pracownię projektową White Castle. 

Dodatkowe informacje:
Czynsz najmu: 12.950 PLN
Parking: W budynku znajduję się 1 miejsce postojowe w garażu podziemnym ujęte w cenie.
Dodatkowo: czynsz administracyjny + opłaty za media zgodnie z realnym zużyciem. tj.(zużycie wody, wywóz nieczystości, zużycie ogrzewania, zużycie prądu) ~ ok. 1500 PLN
Kaucja: W formie depozytu zwrotnego w kwocie 1 miesięcznego czynszu.
Dostępnosć: Maj 2024
Wyposażenie: Apartament będzie dostępny do własnego doposażenia w cześć mebli ruchomych

Wymarzona okolica!

To urokliwe miejsce i kameralna okolica, położona w znakomitej lokalizacji w otoczeniu parku stwarza doskonale warunki do codziennego funkcjonowania. Dostęp do doskonale skomunikowanej części Warszawy gwarantuje wygodne przemieszczanie się po całym mieście. Dodatkowo w najbliżej okolicy znajdują się międzynarodowe szkoły, co stanowi doskonałą okazję dla rodzin z dziećmi. To atrakcyjne miejsce, które ofertuje nie tylko komfortowa warunki, ale także piękne otoczenie!.


Jeśli zainteresował Państwa ten Apartament z ogromnym potencjałem, serdecznie zapraszam do kontaktu w celu uzyskania dodatkowych informacji lub umówienia spotkania w dogodnym terminie. 



Wskaźnik rocznego zapotrzebowania na energię użytkową (EU): 43.37 kWh/(m2 · rok).
Wskaźnik rocznego zapotrzebowania na energię końcową (EK): 76.16 kWh/(m2 · rok).
Wskaźnik rocznego zapotrzebowania na nieodnawialną energię pierwotną (EP): 90.28 kWh/(m2 · rok).
Jednostkowa wielkość emisji CO2 (E CO2): 0.02 t CO2/(m2 · rok).
Udział odnawialnych źródeł energii w rocznym zapotrzebowaniu na energię końcową (U OZE): 0 %.

Przedstawiona powyżej oferta nie jest ofertą handlową w rozumieniu przepisów prawa, lecz ma charakter informacyjny. Finest Estate dokłada wszelkich starań, aby treści przedstawione w naszych ofertach były aktualne i rzetelne. Dane dotyczące ofert uzyskano na podstawie oświadczeń właścicieli nieruchomości.",https://www.otodom.pl/pl/oferta/130-metrowy-apartament-w-znakomitej-lokalizacji-ID4qsUS
3 200 zł,600 zł/miesiąc,"ul. Lazurowa, Chrzanów, Bemowo, Warszawa, mazowieckie",35 m²,2,3/5,blok,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2024,tylko dla niepalących,52.23266,20.896844,False,"NOWE 35m2 Mieszkanie w pełni urządzone o wysokim standardzie + miejsce postojowe.
  Wynajmę NOWE mieszkanie 35 m2  w pełni urządzone o podwyższonym standardzie.Balkon 5m2
Mieszkanie mieści się przy ul. Lazurowej 15 (Bemowo)
Ciche , przytulne , dwupokojowe o powierzchni 35m2 mieszczące się na 3 piętrze.
Duży przestronny taras z wejściem z salonu.
Mieszkanie składa się z osobnej sypialni,  salon połączony z kuchnią.
Kuchnia w pełni wyposażona (nowy nieużywany sprzęt) : lodówka, zmywarka, płyta indukcyjna, czajnik. Duża szafa w sypialni i przedpokoju. Telewizor 55” Samsung.
Odkurzacz, deska do prasowania.
Łazienka wraz z wc z kabiną prysznicową, wyposażona w pralkę.
Dzielnica Mieszkaniowa Metro Zachód to doskonała propozycja dla osób żyjących w rytmie miasta, poszukujących wygody i niepowtarzalnego klimatu.
Doskonała lokalizacja pozwala na wygodne poruszanie się po mieście:
nowa stacja drugiej linii metra w samym sercu dzielnicy
bliskość trasy S8 umożliwiającej łatwą komunikację z innymi dzielnicami Warszawy
szybki dostęp ważnych arterii komunikacyjnych (Górczewska, Połczyńska)
liczne linie autobusowe i tramwajowe
Na terenie osiedla znajdują się sklepy, restauracje i kawiarnie. W pobliżu supermarkety (Lidl, Biedronka). W okolicy znajdują się liczne szkoły i przedszkola, a miłośnicy aktywności na świeżym powietrzu docenią bliskość terenów zielonych, takich jak Park Górczewska.
Atuty lokalizacji i otoczenia :
Stacja metra w sąsiedztwie
Bliskość szkół i przedszkoli
Bliskość terenów rekreacyjnych i sportowych
2 min pieszo do przystanku autobusowego
Łatwy dojazd do obwodnicy Warszawy

Świetnie skomunikowane z całą Warszawą.
ok. 200 m od planowanej stacji metra Chrzanów. Przystanek autobusowy (autobusy 105, 112, 1177, 220, 743, N42, N45)

10 km do Pałacu Kultury i Nauki.

Budynek oddany do użytkowania w 2024 roku.

Wynajem dla pary lub 1 osoby. Niepalące i bez zwierząt.

Opłaty :

Wynajem 3.200 zł/mc
Czynsz do wspólnoty 600 zł
Miejsce parkingowe na zewnątrz – opcjonalnie 200 zł

Zaliczka na media (prąd, woda) 150 zł / osoba

Suma 4.000 zł zł + zaliczka na media (150 zł / osoba) – opcja z miejscem postojowym
Suma 3.800 zł + zaliczka na media (150 zł / osoba) – opcja bez miejsca postojowego

Kaucja zwrotna płatna w pierwszym miesiącu 4.000 zł

Oferta bezpośrednio od właściciela , wynajem na min.rok.
Mieszkanie dostępne od zaraz.
Zainteresowanych zapraszam do obejrzenia 668 003 433
Umowa najmu okazjonalnego:
- notarialne oświadczenie o poddaniu się egzekucji (koszt pokrywa Najemca)
- wskazanie innego lokalu,
- oświadczenie właściciela lokalu lub osoby posiadającej tytuł prawny do lokalu o wyrażeniu zgody na zamieszkanie najemcy i osób z nim zamieszkujących w lokalu wskazanym w oświadczeniu.
Współpracuję z agencjami pośrednictwa nieruchomości, wyłącznie gdy prowizje płaci najemca.
ZABRANIA SIĘ kopiowania zdjęć oraz opisów (w całości lub w części) BEZ ZGODY właściciela.
Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze. Znaki towarowe i graficzne są moją własnością.
       ",https://www.otodom.pl/pl/oferta/mieszkanie-bemowo-lazurowa-2pokoje-wysoki-standard-ID4qq4K
3 200 zł,600 zł/miesiąc,"ul. Lazurowa, Chrzanów, Bemowo, Warszawa, mazowieckie",35 m²,2,3/5,blok,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2024,tylko dla niepalących,52.23266,20.896844,False,"NOWE 35m2 Mieszkanie w pełni urządzone o wysokim standardzie + miejsce postojowe.
  Wynajmę NOWE mieszkanie 35 m2  w pełni urządzone o podwyższonym standardzie.Balkon 5m2
Mieszkanie mieści się przy ul. Lazurowej 15 (Bemowo)
Ciche , przytulne , dwupokojowe o powierzchni 35m2 mieszczące się na 3 piętrze.
Duży przestronny taras z wejściem z salonu.
Mieszkanie składa się z osobnej sypialni,  salon połączony z kuchnią.
Kuchnia w pełni wyposażona (nowy nieużywany sprzęt) : lodówka, zmywarka, płyta indukcyjna, czajnik. Duża szafa w sypialni i przedpokoju. Telewizor 55” Samsung.
Odkurzacz, deska do prasowania.
Łazienka wraz z wc z kabiną prysznicową, wyposażona w pralkę.
Dzielnica Mieszkaniowa Metro Zachód to doskonała propozycja dla osób żyjących w rytmie miasta, poszukujących wygody i niepowtarzalnego klimatu.
Doskonała lokalizacja pozwala na wygodne poruszanie się po mieście:
nowa stacja drugiej linii metra w samym sercu dzielnicy
bliskość trasy S8 umożliwiającej łatwą komunikację z innymi dzielnicami Warszawy
szybki dostęp ważnych arterii komunikacyjnych (Górczewska, Połczyńska)
liczne linie autobusowe i tramwajowe
Na terenie osiedla znajdują się sklepy, restauracje i kawiarnie. W pobliżu supermarkety (Lidl, Biedronka). W okolicy znajdują się liczne szkoły i przedszkola, a miłośnicy aktywności na świeżym powietrzu docenią bliskość terenów zielonych, takich jak Park Górczewska.
Atuty lokalizacji i otoczenia :
Stacja metra w sąsiedztwie
Bliskość szkół i przedszkoli
Bliskość terenów rekreacyjnych i sportowych
2 min pieszo do przystanku autobusowego
Łatwy dojazd do obwodnicy Warszawy

Świetnie skomunikowane z całą Warszawą.
ok. 200 m od planowanej stacji metra Chrzanów. Przystanek autobusowy (autobusy 105, 112, 1177, 220, 743, N42, N45)

10 km do Pałacu Kultury i Nauki.

Budynek oddany do użytkowania w 2024 roku.

Wynajem dla pary lub 1 osoby. Niepalące i bez zwierząt.

Opłaty :

Wynajem 3.200 zł/mc
Czynsz do wspólnoty 600 zł
Miejsce parkingowe na zewnątrz – opcjonalnie 200 zł

Zaliczka na media (prąd, woda) 150 zł / osoba

Suma 4.000 zł zł + zaliczka na media (150 zł / osoba) – opcja z miejscem postojowym
Suma 3.800 zł + zaliczka na media (150 zł / osoba) – opcja bez miejsca postojowego

Kaucja zwrotna płatna w pierwszym miesiącu 4.000 zł

Oferta bezpośrednio od właściciela , wynajem na min.rok.
Mieszkanie dostępne od zaraz.
Zainteresowanych zapraszam do obejrzenia 668 003 433
Umowa najmu okazjonalnego:
- notarialne oświadczenie o poddaniu się egzekucji (koszt pokrywa Najemca)
- wskazanie innego lokalu,
- oświadczenie właściciela lokalu lub osoby posiadającej tytuł prawny do lokalu o wyrażeniu zgody na zamieszkanie najemcy i osób z nim zamieszkujących w lokalu wskazanym w oświadczeniu.
Współpracuję z agencjami pośrednictwa nieruchomości, wyłącznie gdy prowizje płaci najemca.
ZABRANIA SIĘ kopiowania zdjęć oraz opisów (w całości lub w części) BEZ ZGODY właściciela.
Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze. Znaki towarowe i graficzne są moją własnością.
       ",https://www.otodom.pl/pl/oferta/mieszkanie-metro-zachod-bemowo-35m2-wysokistandard-ID4qq4D
6 000 zł,866 zł/miesiąc,"ul. Dywizjonu AK ""Jeleń"", Siekierki, Mokotów, Warszawa, mazowieckie","56,05 m²",3,2/3,apartamentowiec,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2022,"klimatyzacja, tylko dla niepalących",52.205784,21.067809,False,"Na wynajem nowe i nigdy niezamieszkałe mieszkanie na warszawskim Mokotowie. Nieruchomość wykończona z materiałów wysokiej jakości w nowoczesnym stylu w prestiżowej inwestycji “Wiślany Mokotów VI” na ulicy Dywizjonu ""AK Jeleń"".
Apartament znajduje się na 2 piętrze w budynku na nowoczesnym, ogrodzonym i monitorowanym osiedlu z całodobową ochroną. Budynek został oddany do użytku w 2023.
Mieszkanie jest częściowo wyposażone i gotowe do przyjęcia pierwszych Najemców od zaraz.
Na życzenie najemcy istnieje możliwość dokupienia przez nas mebli do mieszkania (sofa, TV, stół, krzesła). 
Apartament ma 56.05m2 i składają się na niego następujące pokoje:
salon z aneksem kuchennym oraz kuchenną wyspą (pomieszczenie z klimatyzacją) [22.81 m2],
funkcjonalna sypialnia z dużym łóżkiem (zawiera twardy materac piankowy klasy GOLD o wymiarach 160x200) i szafą [11.23 m2],
gabinet (zawiera biurko, krzesło, komodę i regał) [10.21 m2],
łazienka z prysznicem [3.44 m2],
korytarz [6.39 m2].
Dodatkowo do mieszkania przynależy balkon o powierzchni 5.89m2 oraz miejsce parkingowe w garażu podziemnym.
Co wyróżnia to mieszkanie:
Nowoczesne wykończenie z wysokiej jakości materiałów w jasnym i przyjaznym stylu
Klimatyzacja, aby zawsze można było cieszyć się idealną temperaturą, niezależnie od warunków pogodowych na zewnątrz,
Lokalizacja na prestiżowym, zamkniętym osiedlu z dostępnością użytkowych altanek na spędzenie ciepłych letnich wieczorów z przyjaciółmi,
Bliskość natury (tereny zielone nad Wisłą znajdują się w zasięgu krótkiego spaceru), blisko Łazienki Królewskie i Park Akcji Burza 
Miejsce postojowe w cenie wynajmu, gwarantujące bezpieczeństwo i komfort parkowania.
Naturalna drewniana podłoga 
Wysokiej jakości sprzęt AGD (wszystko z firmy Samsung, pralko-suszarka Electrolux)
Wysokiej klasy materac 
Mieszkanie jest częściowo umeblowane. Oznacza to, że: 
w mieszkaniu znajdują się niezbędne sprzęty AGD firmy Samsung (lodówka, zmywarka, piekarnik, płyta indukcyjna) oraz Electrolux (pralko-suszarka)
mieszkanie jest częściowo umeblowane (w sypialni szafa i duże łóżko z materacem klasy GOLD, w gabinecie biurko do pracy, krzesło, komoda, regał) oraz zabudowa w korytarzu i w łazience - zgodnie ze zdjęciami
Na życzenie najemcy istnieje możliwość dokupienia przez nas mebli do mieszkania (sofa, TV, stół, krzesła). 
Lokalizacja:
Bliskość centrum Warszawy zapewniająca szybki dostęp do restauracji, kawiarni, sklepów i innych atrakcji miejskich (2.5km do Łazienek Królewskich, 5.5km do centrum),
W okolicy wiele terenów zielonych nad Wisłą i miejsc do spędzania wolnego czasu, blisko Łazienki Królewskie i Park Akcji Burza 
Spokojna okolica o niskiej zabudowie bogata w drobne knajpki (pizzerie, restauracje azjatyckie, kawiarnie, lodziarnia), sklepy (kilka Żabek, piekarnia, sklep rybny, sklep z kraftowymi alkoholami) oraz lokale usługowe (salony urody, masaże, medycyna estetyczna)
Około 300 metrów do najbliższego przystanku autobusowego, zapewniającego połączenie z innymi częściami Warszawy,
W bliskim sąsiedztwie żłobek i przedszkole
Cena i zasady najmu:
Odstępne: 6000 PLN/miesiąc,
Czynsz administracyjny: 866 PLN/miesiąc (uwzględnia zaliczki na prąd 100zl, wodę i ogrzewanie),
Najem okazjonalny na okres min 12 miesięcy,
Kaucja w wysokości 10 000 PLN.
Niniejsze ogłoszenie nie stanowi oferty w rozumieniu Kodeksu Cywilnego, lecz ma charakter informacyjny.
Serdecznie zapraszam do kontaktu w celu uzyskania dodatkowych informacji oraz umówienia się na prezentację mieszkania. Ogłoszenie jest prywatne (brak prowizji za wynajem).
ENG
I am pleased to present to you a unique apartment located in Warsaw Mokotów. The apartment is designed with high quality materials in a very peaceful manner, very bright and cozy. I would like to invite you to contact me for more information.",https://www.otodom.pl/pl/oferta/nowe-3-pokojowe-mieszkanie-wislany-mokotow-ID4qt0T
