rent_price,additional_fees,location,area,room_num,floor,building_type,extra_space,flat_condition,advertiser_type,students_allowed,furnishings,elevator,parking_space,year_of_construction,additional_information,latitude,longitude,approximate_coordinates,adv_description,link
3 000 zł,1 300 zł/miesiąc,"ul. Studencka, Służew, Mokotów, Warszawa, mazowieckie","56,11 m²",2,3/8,blok,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2005,,,,False,"Jasne i ciche mieszkanie z dużymi, drewnianymi oknami. Z salonu wyjście na 10m balkon. W sypialni duża szafa i szafki, możliwość wstawienia łóżka rozm. king size. Kuchnia umeblowana ze sprzętem AGD. Duży hol z szafą wnękową. W cenie miejsce postojowe w garażu podziemnym.
W budynku ochrona i monitoring. Do metra 3min. Zwierzęta są akceptowane.
Czynsz za mieszkanie 3000zł plus czynsz administracyjny 1300zł.
Dodatkowo prąd zgodnie z własnym zużyciem.
Kaucja w wysokości jednego czynszu.",https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-przy-metrze-sluzew-ID4pI5N
3 200 zł,400 zł/miesiąc,"Nowa Praga, Praga-Północ, Warszawa, mazowieckie",42 m²,2,1/6,kamienica,balkon,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,,2008,piwnica,52.2633,21.02832,True,"Bezpośrednio wynajmę od zaraz super mieszkanie na Pradze Północ przy ul. Tarchomińskiej 15 w sąsiedztwie Konesera. Świetna lokalizacja. Kamienica z 2008 roku. W cenie siłownia! Umeblowane i wyposazone w pralkę, lodówkę, tv, zmywarkę, piekarnik. Ciche, przytulne, komfortowe i z gustem. Zapraszam do kontaktu 606499990.",https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-na-pradze-ID4pHXi
4 100 zł,400 zł/miesiąc,"ul. Widok 24, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",43 m²,2,3/10,blok,balkon,do zamieszkania,prywatny,tak,"lodówka, meble, piekarnik, kuchenka, pralka",tak,,1965,,,,False,"Witam! Widok 24 to budynek mieszkalny, położony najbliżej topograficznego centrum Warszawy
(Rondo Dmowskiego). Najemca otrzyma z Urzędu Miasta abonament do bezpłatnego parkowania w bezpośredniej okolicy mieszkania.
Lokal przeprojektowany tak, aby otworzyć kuchnię. Teraz jest ona rozświetloną przestrzenią (inaczej, niż w innych mieszkaniach z bloku Widok 24, będących w ofertach wynajmu). Dzięki temu mieszkanie jest bardzo przytulne. Relatywnie mała powierzania mieści szereg funkcjonalnych pomieszczeń tj. dwa, oddzielne i zamykane pokoje, garderoba, obszerna jadalnia (szczegółowy opis na zdjęciu w rzutem).
Mały czynsz (400zł). Portiernia z ochroną 24h. Wspólnota przeprowadziła wszystkie remonty, łącznie z nowoczesnymi windami, odnowieniem przestrzeni wspólnych. Budynek utrzymuje się z umieszczonej na dachu reklamy, co znacząco obniża koszty dla lokatorów.
Preferowany najem długoterminowy.
Lokal wolny od maja 2024.
Zdjęcia przedstawiają mieszkanie, które najemcy właśnie zwalniają po pięciu latach najmu.
Polecam i serdecznie zapraszam kontaktu!",https://www.otodom.pl/pl/oferta/2-pokoje-50m-od-rotundy-ID4pGY0
3 300 zł,500 zł/miesiąc,"ul. Liwska, Bródno, Targówek, Warszawa, mazowieckie",35 m²,2,5/7,apartamentowiec,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2023,"tylko dla niepalących, oddzielna kuchnia",52.290285,21.016797,False,"Apartament usytuowany jest na 5 piętrze i  ma powierzchnię 35 m2. Składa się z 2 oddzoelnych pokoi, oddzielnej kuchni oraz łazienki z WC.


Mieszkanie jest funkcjonalnie zaprojektowane, więc osoba która je wynajmie będzie mogła poczuć pełen komfort mieszkając w nowo powstałym osiedlu Liwska Residence. Dodatkowo ogromne okna oraz widok na dziedziniec osiedla będą znaczącą zaletą.
Apartament jest zaaranżowany w wysokim standardzie, z pełnym wyposażeniem: w salonie rozkładana sofa, dębowa szafa, duży TV a w sypialni szerokie dębowe łóżko oraz przestronna szafa typu komandor.
W kuchni: lodówka, zmywarka, kuchenka mikrofalowa z grilem, płyta indukcyjna, w łazience duży prysznic, efektowna umywalka oraz WC . Wszystkie sprzęty AGD są energooszczędne.
Wyłącznie dla Mieszkańców tego prestiżowego osiedla jest przeznaczony ogród  na dachu. Atrakcyjną przestrzeń rekreacyjną tworzy bujna roślinność,  miejsca do grillowania (grille, ławki, stoły), plac zabaw z atestowanymi, bezpiecznymi urządzeniami dla dzieci, 
Komunikacja:
Rezydencja Liwska II ma znakomitą lokalizację pod względem komunikacyjnym. Znajduje się w bliskiej odległości od przystanków autobusów miejskich, stacji SKM oraz stacji metra Bródno.  W kilka minut pieszo można dotrzeć do wielu szkół, przedszkoli, basenów oraz sklepów i centrów handlowych.
Koszty utrzymania takiego mieszkania to:
Czynsz mieszkania 3950zł.
Istniej także możliwość wynajęcia miejsca parkingowego za dodatkowe 250 zł.
Media:
- energia wg wskazań licznika
- woda, ogrzewanie ( płatne po przekroczeniu zaliczek z opłat eksploatacyjnych)
-opłata eksploatacyjna w cenie czynszu najmu
Zainteresowane osoby serdecznie zapraszam do obejrzenia i zamieszkania w tak przyjaznym otoczeniu.
Proszę o kontakt pod . 608871938
Pośrednikom dziękuje.",https://www.otodom.pl/pl/oferta/2-pokoje-wysoki-standar-do-1-zamieszkania-ID4pIbA
"3 274,05 zł","725,95 zł/miesiąc","ul. Stryjeńskich, Natolin, Ursynów, Warszawa, mazowieckie",57 m²,2,4/4,apartamentowiec,taras,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2003,"piwnica, tylko dla niepalących",,,False,"Prezentowane mieszkanie to dwupokojowy apartament położony na IV piętrze rodzinnego osiedla Vita Parc przy ul. Stryjeńskich (niska zabudowa, winda). Mieszkanie ma powierzchnię 57 m2 i składa się z salonu połączonego z kuchnią (przy czym połowicznie oddzielonego ścianą), sypialni, garderoby oraz łazienki. Dodatkowo do mieszkania przynależy balkon (11m2), piwnica (3m2) oraz miejsce postojowe w garażu podziemnym. Bezpośrednio wynajmę na okres nie krótszy niż 12 miesięcy. Cena obejmuje czynsz. Najemca pokrywa opłaty licznikowe za prąd oraz (ponad prognozowane zużycie) za zimną wodę, ciepłą wodę i ogrzewanie. Umowy na internet czy TV do podpisania we własnym zakresie.
Niewątpliwym atutem jest wyjątkowy klimat tego miejsca, przyjazne sąsiedztwo (zielone patio i odrębne wejście do Parku Moczydełko dla mieszkańców osiedla), znakomita infrastruktura (rozbudowany, odnowiony plac zabaw na osiedlu) i bliskość terenów rekreacyjnych (las Kabacki - 7 minut spacerem), sklepów (Lidl, Delikatesy Centrum, bazarek Kabacki, Żabka), stacji metra Kabaty (8 minut pieszo) i przystanku autobusowego. Mieszkanie będzie dostępne od kwietnia 2024 (obecnie w trakcie odświeżania)

W przypadku zainteresowania proszę o kontakt po godz. 18 w dni robocze lub w weekend.",https://www.otodom.pl/pl/oferta/apartament-na-wynajem-obok-lasu-kabackiego-ID4pGH2
2 700 zł,585 zł/miesiąc,"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",26 m²,1,parter/3,apartamentowiec,ogródek,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2023,"klimatyzacja, tylko dla niepalących",52.160824,21.078011,False,"Prezentuję na wynajem nową kawalerkę w inwestycji Royal Residence od strony ul. Sarmackiej 21 (dojazd bez korków od ul. Przyczółkowej) z wieloma udogodnieniami dla mieszkańców np. siłownia, sauna, pokój do jogi, zielone patio z fontannami. Estetyczne części wspólne z recepcją 24/7, teren zamknięty. Przyjazne i bezpieczne (dodatkowo zamontowano rolety antywłamaniowe na parterach, monitoring) miejsce z doskonałą komunikacją z Centrum i Ursynowem (w sierpniu tramwaj, autobusy: 15 minut do METRA IMIELIN lub METRA WILANOWSKA, 20 minut na SGGW, węzeł komunikacyjny na ul. Przyczółkowej). 
Dużo terenów zielonych, ścieżki rowerowe i biegowe, Powsin, liczne parki, pole golfowe - Zawady, kompleks sportowy z basenami: SGGW 20 minut, basen ul. Kostki Potockiego i ul. Sarmacka, liczne siłownie. 
Kawalerka znajduje się od strony miasteczka Wilanów z pełną infrastrukturą, bez hałasu budowy czy trasy południowej. Ogródek wychodzi na patio wewnątrz osiedla. Cicho i zielono. Inpost i Żabka w sąsiednim budynku. Poza tym nieco dalej pełna infrastruktura, przychodnie, szpital Medicover, restauracje, Lidl, Biedronki. 
Kawalerka posiada klimatyzację, ekspozycja okien na zachód; łazienka z dużą kabiną prysznicową. Pełne wyposażenie AGD: pralko-suszarka, zmywarka, lodówka, piekarnik, płyta indukcyjna, okap. Do uzgodnienia zakup telewizora. Mieszkanie nowe, czeka na pierwszego najemcę. 
Dodatkowe opłaty: Miejsce garażowe, jeśli potrzebne - dodatkowo płatne 200 zł miesięcznie. Czynsz administracyjny 585 zł z zaliczkami na media (woda, śmieci, ogrzewanie, rozliczanie według liczników co pół roku). Prąd według miesięcznego zużycia, internet z umową na najmującego. 
Kaucja 3500 zł. Preferuję umowę najmu okazjonalnego na minimum 12 miesięcy z możliwością przedłużenia. Dostępne od już. Zapraszam.  ",https://www.otodom.pl/pl/oferta/mieszkanie-26-m-warszawa-ID4pIb0
3 500 zł,,"ul. Antoniego Kocjana, Groty, Bemowo, Warszawa, mazowieckie",52 m²,3,1/5,blok,,do zamieszkania,biuro nieruchomości,,meble,tak,garaż/miejsce parkingowe,2009,oddzielna kuchnia,,,False,"52m2, 2 pokoje, Kampinoski Park Narodowy, Bemowo

Dobry punkt komunikacyjny - dogodny dojazd do wszystkich dzielnic miasta, łatwy i szybki wyjazd na trasę. Lokal znajduję się na pierwszym piętrze budynku z 2009 roku, osiedle zamknięte z dużą ilością zieleni.
Ekspozycja okien: Południowy wschód.

Mieszkanie składa się z salonu z wyjściem na balkon, oddzielnej widnej kuchni, sypialni oraz łazienki z wanną.
Całe wyposażenie zawarte jest w cenie najmu.

Do mieszkania przynależy miejsce postojowe w parkingu podziemnym.

Koszty: 3500 zł najem + 200 zł miejsce postojowe = 3700 zł
Kaucja: 3700 zł

Umowa najmu okazjonalnego - warunek konieczny

Zapraszam do kontaktu
Niniejsze ogłoszenie nie stanowi oferty w rozumieniu Kodeksu Cywilnego, lecz ma charakter informacyjny.
Przedstawione wizualizacje i grafiki mają charakter wyłącznie poglądowy i stanowią wyłącznie materiał pomocniczy, ułatwiający zorientowanie się w ogólnym wyglądzie oferowanej nieruchomości.
Niniejsze ogłoszenie wraz z jego elementami jest własnością Północ Nieruchomości Sp z o.o. lub podmiotu współpracującego. Wszelkie prawa zastrzeżone. Kopiowanie, rozpowszechnianie oraz korzystanie z niniejszych materiałów w jakikolwiek inny sposób wykraczający poza dozwolony użytek określony przepisami ustawy z 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych (Dz. U. 1994, nr 24 poz. 83 z późn. zm.) bez pisemnej zgody Północ Nieruchomości Sp z o.o. lub podmiotów współpracujących jest zabronione i może stanowić podstawę odpowiedzialności cywilnej oraz karnej.
Niniejsze materiały stanowią tajemnicę przedsiębiorstwa PÓŁNOC NIERUCHOMOŚCI Sp. z o.o. w rozumieniu ustawy z dnia 16 kwietnia 1993 r. o zwalczaniu nieuczciwej konkurencji (Dz. U. z 2003 r., Nr 153, poz. 1503 z późn. zm.).
Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/52m2-2-pokoje-zamkniete-osiedle-wat-ID4pIb9
2 800 zł,650 zł/miesiąc,"ul. Skoroszewska, Skorosze, Ursus, Warszawa, mazowieckie",40 m²,2,6/6,blok,"balkon, taras",do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2013,,,,False,"Wyjątkowe mieszkanie 2- pokojowe o powierzchni 40 m2 z tarasem 25 m2 w tym 6 m2 w szklanej zabudowie ""ogród zimowy"" ogrzewanie podłogowe, dwa miejsca w parkingu podziemnym. Osiedle strzeżone przy ulicy Skoroszewskiej na warszawskim Ursusie, mieszkanie na szóstym (ostatnim) piętrze. Szybka, wygodna winda. Budynek wybudowany w 2013 roku. Mieszkanie bardzo zadbane, czyste, słoneczne. Pokój dzienny urządzony z TV oraz otwartą kuchnią wyposażoną w b.dobrej klasy sprzęt AGD (lodówko-zamrażarka, zmywarka, piekarnik z mikrofalą, płyta indukcyjna, okap, odkurzacz). Ciekawie rozplanowana łazienka z oryginalną kabiną prysznicową, pralka. W przedpokoju i sypialni zabudowane szafy z frontami lustrzanymi. Sypialnia do własnej aranżacji. Dużym atutem mieszkania jest przestronny taras dający możliwość stworzenia własnego ogrodu. Do dyspozycji dwa miejsca parkingowe w garażu podziemnym. Mieszkanie wolne, gotowe do wynajęcia od zaraz.
Umowa długoterminowa najmu okazjonalnego.
Cena z jednym miejscem parkingowym 2800 zł/m-c. Dodatkowo za m-c: Czynsz administracyjny 650 zł, media ok.150 zł. Ewentualnie drugie miejsce parkingowe 300 zł.
Kaucja 3000 zł",https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-z-tarasem-2-miejsca-parking-ID4pIaV
4 800 zł,850 zł/miesiąc,"ul. Promenada, Sielce, Mokotów, Warszawa, mazowieckie",53 m²,3,3/3,,balkon,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",nie,,,,,,False,"Link do wideo : 
Generalnie remontowane 2 lata temu.
Kuchnia w pełni wyposażona.
9min pieszo od przystanku Morskie Oko 04 oraz 4min pieszo od przystanku Dolna 52.
Pieski nie są dozwolone.
Dostępne od zaraz.
Agencjom dziękujemy.",https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-z-widokiem-na-park-ID4pIaJ
2 700 zł,500 zł/miesiąc,"Szamoty, Karola Taylora, Szamoty, Ursus, Warszawa, mazowieckie",29 m²,1,1/7,apartamentowiec,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, kuchenka, pralka",tak,,2023,tylko dla niepalących,,,False,"Mieszkanie znajduje się na nowym (2023), ładnie zagospodarowanym osiedlu na Ursusie przy ul. Karola Taylora. Osiedle z całodobową ochroną i monitoringiem.
Bardzo dobra lokalizacja: 7 minut pieszo do stacji PKP Warszawa Ursus i 4 minuty do przystanku autobusowego Gierdziejowskiego. Dojazd pociągiem do Śródmieścia ok. 15 min. Mokotów – okolice Marynarskiej ok. 30 min.
W pobliżu liczne sklepy: Żabki, Biedronka, Lidl, bazarek gdzie w sobotę można kupić owoce i warzywa od rolnika, restauracje i punkty usługowe oraz centrum handlowe Factory Ursus.
Liczne Parki: Hassów, Czechowicki (latem kino letnie), Archera.
Rozwinięta sieć ścieżek rowerowych (blisko do Kampinosu) oraz liczne możliwości zadbania o aktywnoś sportową: 15 minut do OSiR Ursus – Pływalnia Albatros, 25 minut pieszo do OSiR Ursus - Pływalnia Skalar, 23 min Klub Zdrofit.
Mieszkanie jest w pełni wyposażone i umeblowane. Składa się z:
·        Przedpokoju wraz z częścią garderobianą.
·        Kuchni z meblami na zamówienie oraz w pełni wyposażoną (kuchenka mikrofalowa, kuchnia indukcyjna, lodówka w zabudowie, zmywarka, podstawowe naczynia).
·        Pokoju dziennego (czekam na sofę, będzie pod koniec marca) z wydzieloną strefą do spania (łóżko 140 x 200) oraz pojemną, robioną na zamówienie (190 cm długości) szafą.
·        Łazienki wraz z pojemną szafą robioną na zamówienie, z pralką.
·        Loggi z widokiem na przestrzeń.
Cena: 2700 pln + czynsz administracyjny 500 pln (zawiera zaliczki na media: woda ciepła/zimna, ścieki, wywóz śmieci, ogrzewanie) + prąd wg wskazań licznika (orientacyjnie ok. 100 pln co dwa miesiące).
Kaucja w wysokości 3200 zł.
Wynajem bezpośrednio od właściciela, umowa najmu okazjonalnego dla osób niepalących.
Kontakt tel. po godz. 16:00.
Pośrednikom dziękuję.
 ",https://www.otodom.pl/pl/oferta/kawalerka-w-wysokim-standardzie-ID4pIac
