rent_price,additional_fees,location,area,room_num,floor,building_type,extra_space,flat_condition,advertiser_type,students_allowed,furnishings,elevator,parking_space,year_of_construction,additional_information,latitude,longitude,approximate_coordinates,adv_description,link
2 400 zł,400 zł/miesiąc,"ul. Wspólna, Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",37 m²,1,2/3,kamienica,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, pralka",nie,,,,52.24534,21.179564,False,"Agencjom nieruchomości i pośrednikom z góry dziękuję.
Do wynajęcia przytulna kawalerka o powierzchni 37 m2. Jestem właścicielem tego lokalu.
Lokal znajduje się w  Warszawa-Wesoła (przy ul. Wspólnej 2c), w 3 piętrowej kamienicy na 2 Piętrze.
Mieszkanie składa się z:
- przestronnego pokoju ok. 30 m2
- łazienki z prysznicem (wysoki brodzik)
- przedpokoju.
Mieszkanie jest umeblowane i wyposażone.
BARDZO DOBRA LOKALIZACJA!
- 100 m przystanek autobusowy (autobusy 115, 173, N21, N71 a także 514, 183, 520, 402 )
- 50 m park
-100 m basen, sklepy.
- 4 przystanki autobusowe do stacji PKP Warszawa Rembertów S2, S20 i PKP Warszawa Gocławek S1 S10
CENA: 2400zł + czynsz 400zł + opłaty z liczników.  Kaucja - jednomiesięczna 2400zł.
DLA KOGO:
- osoby niepalące
- maksymalnie dla 2 osób
- bez zwierzątek
Lokal przeznaczony do wynajmu dla osoby niepalącej i bez zwierząt.
Tel. 509-938-958
Niniejsza oferta jest informacją handlową i nie może być uznawana za ofertę w rozumieniu art. 66 ust. 1 Kodeksu Cywilnego. Stanowi ona zaproszenie do rokowań w rozumieniu art. 71 Kodeksu Cywilnego.",https://www.otodom.pl/pl/oferta/bezposrednio-kawalerka-37m-wawa-wesola-wspolna-2c-ID4qpm2
2 500 zł,1 000 zł/miesiąc,"ul. Kompasowa, Gocław, Praga-Południe, Warszawa, mazowieckie",55 m²,2,2/4,blok,balkon,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",nie,,1998,"piwnica, oddzielna kuchnia",52.231528,21.084018,False,"Opis mieszkania:
2 pokojowe mieszkanie z osobną kuchnią 
Zabudowany balkon dla relaksu na świeżym powietrzu 
Powierzchnia: 55 m² 
Lokalizacja: ul. Kompasowa 3, dzielnica Gocław, Praga Południe 
Cena:
2500 zł odstępnego + 1000 zł czynsz + opłaty za media 
Wynajem na dłuższy czas, min. rok 
Szukamy poważnych ofert!
umowa najmu okazjonalnego podpisana notarialnie
Jeśli jesteś zainteresowany/a, skontaktuj się z nami już dziś!
Preferowany, kontakt telefoniczny",https://www.otodom.pl/pl/oferta/mieszkanie-do-wynajecia-praga-pld-kompasowa-ID4qob6
2 200 zł,700 zł/miesiąc,"Filtry, Ochota, Warszawa, mazowieckie",35 m²,2,4/5,kamienica,,do zamieszkania,prywatny,,"lodówka, meble, kuchenka, pralka",nie,,,,52.2119,21.00553,True,"Ciche i kameralne mieszkanie dwupokojowe 35 m2 w kamienicy na 5 piętrze (winda dojeżdża do 4) przy Al. Niepodległości. Okna mieszkania wychodzą na podwórze,więc nie słychać ulicznego hałasu, jest b. cicho.
Mieszkanie składa się z 2 pokoi, jeden przechodni do kuchni, co widać na zdjęciu. Kuchnia z oknem.
Mieszkanie dla  jednej osoby lub pary.
Opłata za czynsz 2200 zł 
Dodatkowo czynsz administracyjny 700 zł i opłaty za gaz i energie elektr. wg wskazań zużycia (w granicach 100 zł)
Kaucja 2900zł.
Umowa najmu okazjonalnego",https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-przy-metrze-pole-mokotowskie-ID4ql5Y
2 300 zł,300 zł/miesiąc,"ul. Edwarda Habicha, Szamoty, Ursus, Warszawa, mazowieckie",20 m²,1,3/7,apartamentowiec,balkon,do zamieszkania,prywatny,tak,"lodówka, meble, kuchenka, pralka",tak,garaż/miejsce parkingowe,2023,,52.203598,20.881501,False,"Z przyjemnością prezentujemy ofertę wynajmu nowoczesnych kawalerek idealnego dla osób poszukujących komfortowego i funkcjonalnego mieszkania. Mieszkanie znajduje się na 3. piętrze nowego budynku z windą, na osiedlu Nexity na Ursusie, przy ul. Edwarda Habicha. Tuż przy przystankach autobusowych oraz SKM Ursus Północny, co zapewnia doskonałe połączenia komunikacyjne.

1. Lokal składa się z:

Salonu z aneksem kuchennym,
Łazienki,
Balkonu.
2. Lokal składa się z:
Salonu z aneksem kuchennym,
Łazienki,
wydzielonej sypialni.


Mieszkanie jest świeżo po remoncie, w pełni umeblowane i wyposażone, co gwarantuje wygodę i komfort codziennego życia. W okolicy znajdują się liczne sklepy spożywcze, usługi, apteka, przychodnia, przedszkole oraz restauracje, co ułatwia codzienne funkcjonowanie. Dodatkowo, do dyspozycji mieszkańców jest około 3 km do galerii Factory Ursus.

Na osiedlu planowane są dodatkowe udogodnienia, takie jak fotowoltaiczne ławki multimedialne, stacja ładowania samochodów elektrycznych, strefa relaksu z fontanną, siłownia plenerowa oraz boisko do siatkówki, co sprawi, że życie będzie jeszcze bardziej komfortowe.

Cena: 2300 zł (z oddzielną sypialnią  2600zł)
Czynsz: ok. 300 zł (z oddzielną sypialnią  350zł)
Umowa najmu: okazjonalna

Miejsce postojowe w garażu: opcjonalne, w cenie 300 zł
Zainteresowanych serdecznie zapraszamy do kontaktu w celu umówienia się na prezentację oraz uzyskania dodatkowych informacji. Bezpośrednio.",https://www.otodom.pl/pl/oferta/kawalerka-do-wynajecia-w-nowoczesnym-stylu-osiedl-ID4qlo3
2 400 zł,615 zł/miesiąc,"Grodzisk, Białołęka, Warszawa, mazowieckie",27 m²,1,1/4,blok,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2002,tylko dla niepalących,52.316954,21.059289,True,"Do wynajęcia dla pary lub singla nowoczesne, urządzone w wysokim standardzie mieszkanie o powierzchni 27 m2, po remoncie, z wyposażeniem AGD, dwoma szafami w zabudowie, wyposażone w obszerny i wygodny narożnik. Mieszkanie znajduje się w  4-piętrowym bloku, na pierwszym poziomie, tj wysokim parterze, w spokojnej okolicy z bardzo dobrą komunikacją.
Mieszkanie się składa z :
-Łazienki z prysznicem, pralką i WC, meblami w zbudowie
-Kuchni z dużą lodówko-zamrażarką z niezależnymi obiegami, piekarnikiem, płytą indukcyjną, kuchenką mikrofalową w zabudowie
-W części salonu jest miejsca na TV na szafce wiszącej i wyjście na duży balkon
-W części sypialni jest dwuosobowy narożnik oraz szafa
W pobliżu sklepy, centra handlowe, żłobki, przedszkola i szkoły.

Osiedle zamykane i monitorowane, dodatkowo w cenie mieszkania jest jedno miejsce parkingowe przypisane tylko dla Właściciela lokalu.
Szybki dojazd do centrum zarówno metrem, jak i samochodem.
Koszt wynajmu to 2800 zł + czynsz 513 zł +prąd
Kaucja 2800 zł
Zapraszam na prezentację po wcześniejszym umówieniu.",https://www.otodom.pl/pl/oferta/kawalerka-wysoki-standard-z-miejscem-postojowym-ID4qlm5
3 600 zł,838 zł/miesiąc,"ul. Kabacki Dukt, Kabaty, Ursynów, Warszawa, mazowieckie",62 m²,3,2/5,blok,balkon,do zamieszkania,biuro nieruchomości,,"lodówka, meble, kuchenka",tak,,2005,,52.12888,21.068933,False,"Kameralne, 3 pokojowe mieszkanie przy Lesie Kabackim znajduje się w budynku 4 piętrowym z windą.
Mieszkanie w cichej i spokojnej okolicy składa się z :
salonu z otwartą kuchnią i wyjściem na balkon z którego widać Las Kabacki,
12 metrowej sypialni z bardzo duża szafą w zabudowie i osobnym balkonem,
małego pokoju/ gabinetu do pracy,
łazienka z wc oraz przedpokoju.
Okna skierowane są w kierunkach południowym od salonu i północnym od sypialni.
Mieszkanie wyposażone w podstawowe sprzęty AGD (zmywarkę, pralkę). Do mieszkania przynależy miejsce postojowe w garaży podziemnym płatne dodatkowo 280 PLN.
Okres najmu min. 12 miesięcy, umowa najmu okazjonalnego.
Idealne miejsce dla rodziny a także osób, które cenią sobie ciszę i bliskość natury.
OKOLICA:
liczne tereny rekreacyjne, zabaw dla dzieci na osiedlu i przy budynku;
pełna infrastruktura miejska: sklepy, apteki, restauracje....;
wyjazd na S2, zajezdnie autobusowa oraz metro.
Struktura kosztów
Czynsz administracyjny: Dodatkowo płatny (838 zł)
Ogrzewanie: W czynszu administracyjnym
Woda: W czynszu administracyjnym
Prąd: Dodatkowo płatny
Gaz: Dodatkowo płatny
Internet: Indywidualna umowa
TV kablowa/sat.: Indywidualna umowa
Miejsce postojowe: Dodatkowo płatny (300 zł)
Podstawowe
Czynsz najmu : 3 600 PLN
Powierzchnia : 62,00 mkw.
Liczba pokoi : 3
Piętro / liczba pięter : 2

Opłaty
Kaucja : 4200

Podstawowe informacje
Rodzaj : Rozkładowe
Stan lokalu : Bardzo dobry
Umeblowanie : Tak
Salon : 15 mkw.
Kuchnia : Otwarta
Liczba łazienek : 1

Budynek
Rok budowy : 2005
Stan budynku : Bardzo dobry
Winda : Tak
Udog. dla niepełnosprawnych : Nie
Teren ogrodzony : Nie
Ochrona : Nie

Powierzchnia dodatkowa
Liczba balkonów : 2
Balkon : Klasyczny,
Piwnica : Nie
Komórka : Nie
Ogród : Nie

Media i wyposażenie
Klimatyzacja : Nie
Ogrzewanie : CO miejskie,
Ciepła woda : Wodociąg miejski,
Gaz : Tak
Wyposażenie łazienek : Pralka, Umywalka, WC,
Wyposażenie kuchni : Kuchenka elektryczna, Lodówka, Meble w zabudowie kuchennej, Płyta grzewcza gazowa, Zlewozmywak,

Miejsca parkingowe
Parking podziemny : 1

Infrastruktura
Dostępne w okolicy : Bar, Fitnes, Kościół, Las, Plac zabaw, Przedszkole, Restauracja, Szkoła,

Komunikacja
Transport publiczny : Autobus, Autostrada, Metro,
Świadectwo charakterystyki energetycznej

Nasze usługi świadczymy w oparciu o umowę pośrednictwa, która gwarantuje Państwu bezpieczeństwo transakcji oraz pełną opiekę naszego doradcy przez cały okres trwania współpracy. Za wykonaną usługę pobieramy wynagrodzenie zgodnie z warunkami uzgodnionymi w zawartej umowie (za wyjątkiem umów zawartych w programie 0%).
Prezentowane oferty nie stanowią oferty w rozumieniu Kodeksu Cywilnego. Staramy się, aby informacje dotyczące oferowanych obiektów były możliwie dokładne, kompletne i aktualne. Ze względu na okoliczności, iż informacje te pochodzą od osób trzecich i część z nich nie zawsze daje się zweryfikować, MAXON Nieruchomości Sp. z o.o. nie ponosi odpowiedzialności za ich dokładność, kompletność i aktualność",https://www.otodom.pl/pl/oferta/metro-kabaty-przy-lesie-kabackim-ID4qplZ
3 500 zł,690 zł/miesiąc,"ul. Jana Nowaka-Jeziorańskiego 48, Gocław, Praga-Południe, Warszawa, mazowieckie",41 m²,2,4/6,,balkon,do zamieszkania,biuro nieruchomości,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2018,tylko dla niepalących,52.231196,21.091387,False,"Piękne dwupokojowe mieszkanie z pełnym wyposażeniem. Dostępne od już!!!
Я розмовляю українською UA
Я говорю по-русски BU
 Możliwość prezentacji 3.05,4.05, 6.05, godziny do dogadania.
Zapraszamy do wynajmu tego urokliwego mieszkania dwupokojowego z dużym balkonem, usytuowanego na malowniczym, zielonym osiedlu Apartamenty Saska nad Jeziorkiem. To idealne miejsce dla osób ceniących spokój i kontakt z naturą, jednocześnie mających dostęp do wszystkich udogodnień miejskiego życia.

To mieszkanie jest gotowe do natychmiastowego zamieszkania - całkowicie wyposażone, co zapewnia wygodę i komfort już od pierwszego dnia. Dodatkowo istnieje możliwość wynajmu podwójnego miejsca parkingowego na platformie za niewielką opłatą 400 zł miesięcznie, co z pewnością ułatwi codzienne poruszanie się samochodem.

Niezwykłą zaletą tego lokum jest wysoka jakość wykonania, korzystanie z doskonałych materiałów, które gwarantują trwałość i elegancję przez wiele lat. Z balkonu rozciąga się malowniczy widok na jeziorko Gocławskie , co stanowi niepowtarzalną okazję do relaksu i odpoczynku w otoczeniu przyrody.Umowa najmu okazjonalnego na 12 miesięcy.Kaucja zwrotna równowartość 1 miesięcznego czynszu.

Mieszkanie jest już dostępne, więc nie czekaj - skorzystaj z tej wyjątkowej oferty i wprowadź się do swojego wymarzonego domu już teraz!",https://www.otodom.pl/pl/oferta/komfortowe-2-pok-z-duzym-balkonem-os-saska-ID4qplP
3 600 zł,550 zł/miesiąc,"ul. Grójecka, Stara Ochota, Ochota, Warszawa, mazowieckie",40 m²,2,3/5,kamienica,,do zamieszkania,biuro nieruchomości,,meble,tak,,1922,,52.21863,20.98272,False,"Mieszkanie nowe, niezamieszkałe.

Nowy, świeżo po remoncie o wysokim standardzie wykończenia apartament, przy ulicy Grójeckiej w samym sercu Warszawskiej dzielnicy Stara Ochota.
Apartament znajduje się w odrestaurowanej, przedwojennej kamienicy. Okna wychodzą na historyczny Plac Narutowicza.
Na terenie przynależnym do budynku znajduje się wewnętrzny dziedziniec z ławeczkami do odpoczynku.

Doskonały punkt komunikacyjny z transportem miejskim w każdym kierunku miasta.
W bliskiej okolicy budynku znajdują się przystanki tramwajowe linii: 1, 7, 9, 15, 25, 35 oraz autobusowe linii: 157, 517, 521.
Do stacji kolejowej Warszawa Główna 6 min. tramwajem, do stacji Metro Centrum 10 min. tramwajem, do stacji Metro Politechnika 11 min tramwajem.
W bezpośrednim sąsiedztwie lokalu liczne sklepy, restauracje, salony usługowe, apteki, kościół, teatr, przychodnia, parki, basen, siłownia.

Apartament składa się z salonu z aneksem kuchennym, sypialni z dużym oknem, łazienki oraz przedpokoju.
Kuchnia wyposażona w lodówkę, zmywarkę i płytę indukcyjną, w łazience pralka i kabina prysznicowa.
Lokal z dużą ilością dziennego światła przystosowany do instalacji klimatyzacji.
Apartament wyposażony w okrągły stół z czterema krzesłami, łóżko o wymiarach 140/200, szafy. Resztę wyposażenia do konsultacji z właścicielem.

Cena najmu lokalu to 3600 zł + czynsz administracyjny 550 zł = 4150 zł
Dodatkowo najemca zobowiązany jest opłacać energie elektryczną według zużycia.
Kaucja w kwocie 4000 zł.
Umowa minimum rok, najem okazjonalny.

Oferta godna uwagi, zapraszam do kontaktu.
Oferta na wyłączność.
Niniejsze ogłoszenie nie stanowi oferty w rozumieniu Kodeksu Cywilnego, lecz ma charakter informacyjny.
Przedstawione wizualizacje i grafiki mają charakter wyłącznie poglądowy i stanowią wyłącznie materiał pomocniczy, ułatwiający zorientowanie się w ogólnym wyglądzie oferowanej nieruchomości.
Niniejsze ogłoszenie wraz z jego elementami jest własnością Północ Nieruchomości Sp z o.o. lub podmiotu współpracującego. Wszelkie prawa zastrzeżone. Kopiowanie, rozpowszechnianie oraz korzystanie z niniejszych materiałów w jakikolwiek inny sposób wykraczający poza dozwolony użytek określony przepisami ustawy z 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych (Dz. U. 1994, nr 24 poz. 83 z późn. zm.) bez pisemnej zgody Północ Nieruchomości Sp z o.o. lub podmiotów współpracujących jest zabronione i może stanowić podstawę odpowiedzialności cywilnej oraz karnej.
Niniejsze materiały stanowią tajemnicę przedsiębiorstwa PÓŁNOC NIERUCHOMOŚCI Sp. z o.o. w rozumieniu ustawy z dnia 16 kwietnia 1993 r. o zwalczaniu nieuczciwej konkurencji (Dz. U. z 2003 r., Nr 153, poz. 1503 z późn. zm.).
Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/ochota-grojecka-2-pok-po-remoncie-1-najemca-ID4qpku
3 800 zł,,"ul. Zygmunta Modzelewskiego, Służew, Mokotów, Warszawa, mazowieckie",40 m²,2,8/8,blok,balkon,,biuro nieruchomości,,meble,tak,garaż/miejsce parkingowe,2022,,52.172274,21.011393,False,"WARUNKI NAJMU
- Okres najmu: min. 12 miesięcy
- Maksymalna liczba osób: 2
- Dostępne od: zaraz
- Zwierzęta nie są akceptowalne

BUDYNEK I OSIEDLE - ul. Zygmunta Modzelewskiego
Piętro 8 z 8, winda, ochrona, recepcja, monitoring, ogrzewanie miejskie,

UKŁAD POMIESZCZEŃ - 40 m2
Mieszkanie: salon z aneksem kuchennym, sypialnia, korytarz, łazienka z toaletą
Powierzchnie dodatkowe: balkon

UMEBLOWANIE I WYPOSAŻENIE
Mieszkanie umeblowane.
Sprzęty: lodówka z zamrażarką, piekarnik, płyta indukcyjna, wyciąg kuchenny, czajnik elektryczny, pralka, zmywarka,
Armatura: prysznic z deszczownicą,

OPŁATY MIESIĘCZNE
Czynsz najmu: 3 800 PLN
Dodatkowo: zaliczka na energię elektryczną

Kwestia parkingu do ustalenia

---
ENGLISH VERSION

2-rooms apartment | Modzelewskiego Street

Offer reference number: 6335/4186/OMW

BUILDING AND SETTLEMENT - Zygmunta Modzelewskiego Street
Floor 8 of 8, elevator, security, reception, video surveillance, underground garage, city heating,

ROOMS LAYOUT - 40 m2
Apartment: living room with a kitchenette, bedroom, hall, bathroom with a kitchenette
Additional surfaces: balcony

FURNISHINGS AND EQUIPMENT
Furnished apartment.
Equipment: fridge with freezer, oven, induction hob, kitchen lift, electric kettle, washing machine, dishwasher,
Sanitary fittings: rain shower

MONTHLY COSTS
Rent: 3 800 PLN
Additional costs: prepaid for an electricity

---
SZEŚĆ ŚCIAN Biuro Nieruchomości
Katarzyna Staniewska
514-411-543
Niniejsza oferta nie stanowi oferty w rozumieniu przepisów Kodeksu Cywilnego, a dane w niej zawarte mają jedynie charakter informacyjny i mogą ulec zmianie.

Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-40m2-modzelewskiego-ID4qkOU
2 600 zł,,"ul. Antoniego Magiera, Słodowiec, Bielany, Warszawa, mazowieckie",40 m²,2,parter/4,,,,biuro nieruchomości,,,nie,,,,52.27192,20.95233,False,"Wynajem I Dwa pokoje I Bielany I Cisza I Komfortowe I Magiera 14

Zamieszkaj w ciszy jaką daje to mieszkanie, przy ulicy Magiera 14, tuż obok Parku Zbigniewa Herberta, oraz wśród licznych terenów zielonych i bogatej infrastruktury. Bardzo dobrze skomunikowane z centrum stolicy. 

ATUTY:
- za oknem zieleń i cisza
- podłoga parkiet
- dwa oddzielne pokoje (salon z kuchnią i sypialnia )
- łazienka z wanną
- duży balkon
- tylko 3 mieszkania na piętrze
- podłoga parkiet 
- strona świata: wschód- południe 
- wiele terenów zielonych
- mnóstwo miejsc postojowych wokół budynku
- bezpłatny parking

CENA:
Cena wynajmu mieszkania - 2700 zł
Czynsz administracyjny - 712,38 zł
Kaucja: 100% jednomiesięcznego czynszu wynajmu 
Oczekiwania: uczciwy Najemca
Najem: minimum 12 miesięcy.
Czas wynajmu : od teraz

W NASZEJ OPINI:
Mieszkanie idealne dla singla lub pary. Szukamy rzetelnych i uczciwych Najemców, którzy są gotowi wynająć mieszkanie na minimum rok. Stanowi doskonały wybór dla tych, którzy cenią sobie ciszę, czystość, dobry standard, spokój, ale jednocześnie dostęp do wielu udogodnień zapewnionych w okolicy.

OKOLICA:
Bogata w infrastrukturę społeczną, spokojna i cicha, 5 minut spacerem do linii tramwajowych i autobusowych przy ul. Broniewskiego, oraz 10 minut do stacji metra Słodowiec, blisko Park Zbigniewa Herberta, Park Olszyna oraz sklepy - 7 min spacerem do Biedronki, Restauracje, Pizzerie, Kawiarnie.

ZAPROSZENIE:
Serdecznie zapraszam wszystkie zainteresowane osoby na prezentację mieszkania. W celu omówienia szczegółów, proszę o kontakt.
Jestem do Państwa dyspozycji 6 dni w tygodniu w godzinach 9.00 - 20.00

Aneta Janaszek
Doradca ds. Nieruchomości Premium Tel: 696 020 137

* Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu art. 66 Kodeksu Cywilnego.",https://www.otodom.pl/pl/oferta/metro-slodowiec-2-pokoje-cisza-i-spokoj-ID4qpkg
