rent_price,additional_fees,location,area,room_num,floor,building_type,extra_space,flat_condition,advertiser_type,students_allowed,furnishings,elevator,parking_space,year_of_construction,additional_information,latitude,longitude,approximate_coordinates,adv_description,link
6 500 zł,1 000 zł/miesiąc,"ul. Grzybowska 37, Mirów, Wola, Warszawa, mazowieckie","47,5 m²",2,7/16,apartamentowiec,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2023,"klimatyzacja, tylko dla niepalących, pom. użytkowe",,,False,"Nowe, w Centrum, z widokiem, klimatyzowane z parkingem
Warszawa, Śródmieście, Grzybowska – 47.5 m2
BEZPOŚREDNIO, BEZ PROWIZJI, AGENTOM DZIĘKUJEMY.
Wolne od zaraz.
Całkiem nowe mieszkanie dwupokojowe, 47.5 m2, dwa pokoje, aneks kuchenny w pełni wyposażony (kuchenka, lodówka, zmywarka, mikrofalówka). W łazience pralka. Sprzęt zupełnie nowy, nie używany. Czeka na pierwszego najemcę.
Piętro 7/16
Gotowe do zamieszkania, bardzo funkcjonalne mieszkanie w nowej inwestycji z 2023 r. rogowe, z panoramicznym widokiem oraz z loggią.
Apartament bardzo jasny, wykończony z pomocą architekta wnętrz, szafy w zabudowie.
Lokalizacja w centrum, blisko do sklepów, restauracji, Centrum Handlowego Złote Tarasy. Niedaleko centrum biznesowe przy Rondzie Daszyńskiego. W pobliżu basen, siłownia, szkoła i przedszkole. Do stacji metra Rondo ONZ dojście w 5 min., Dworzec Centralny w odległości 10 min. Dogodna sieć komunikacyjna (autobus, tramwaj) w pobliżu.
Czynsz 6.500 PLN nie zawiera czynszu do administracji oraz opłat (zaliczek) za media (woda, ogrzewanie) w wysokości łącznej ok. 1.000 zł (+prąd w zależności od zużycia). Internet we własnym zakresie.
W cenie duże miejsce postojowe w parkingu podziemnym z wieszakiem na rower oraz komórka lokatorska.
Kaucja w wysokości 10.000 PLN.
Najem okazjonalny, dla niepalących, bez zwierząt.",https://www.otodom.pl/pl/oferta/nowe-w-centrum-z-widokiem-klimatyzacja-parking-ID4pNti
3 400 zł,650 zł/miesiąc,"Piaski, Bielany, Warszawa, mazowieckie",38 m²,2,parter/4,blok,,,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",nie,,,"piwnica, tylko dla niepalących",,,False,"Oferuję do wynajęcia urocze mieszkanie dwupokojowe z widną kuchnią, łazienką z prysznicem i sypialnią, położoną w cichej okolicy na warszawskich Bielanach. Mieszkanie jest po kapitalnym remoncie, jeszcze nie używane. W pełni umeblowane i wyposażone, w tym w sprzęty RTV i AGD (pralka, zmywarka, ekspres do kawy). Znajduje się w kameralnym budynku otoczonym zielenią, na parterze.

Mieszkanie jest dostępne od zaraz, bez prowizji, bez pośredników, bezpośrednio od Właściciela.

Dwa pokoje – 38 m2.

Wygodna kuchnia z klimatyczną wyspą - wyposażona w lodówkę, zmywarkę, piekarnik oraz płytę indukcyjną. Do dyspozycji Najemcy jest także czajnik elektryczny oraz ekspres do kawy, jak również pełna zastawa stołowa, garnki i inne przedmioty niezbędne do komfortowego korzystania z kuchni.

Salon - rozkładana 3 osobowa sofa, komoda, telewizor (Smart TV), szafka RTV, stolik kawowy oraz biurko i stół z dwoma krzesłami.

Sypialnia - w sypialni znajduje się podwójne łóżko z nowym materacem (nie był przez nikogo używany), szafa PAX oraz szafki nocne z lampkami.

Łazienka - prysznic, szafka podwieszana oraz szafka pod umywalką, grzejnik (suszarka na ręczniki).

Przedpokój z pojemną szafą (mieszczącą pralkę) oraz lustrem i szafką na buty.

Opłaty miesięczne:
Opłata podstawowa przy podpisaniu umowy na 12 miesięcy: 3400 zł
Czynsz dla Spółdzielni: ok. 600 zł
Łącznie: 4000 zł + media (według zużycia prąd, ogrzewanie, woda)

W okolicy znajdują się liczne bezpłatne miejsca parkingowe lub dodatkowo płatny parking strzeżony.

KOMUNIKACJA I UDOGODNIENIA
Przystanek Park Olszyna mniej niż 5 min pieszo.
Do najbliższego przystanku autobusowego/tramwajowego 3 min pieszo.

Szybki dojazd do Centrum: 20 minut samochodem/25 minut komunikacją
Warszawa Centralna: 7,7 km, możliwy dojazd komunikacją miejską – bezpośrednim autobusem lub tramwajem.

W pobliżu znajdują się liczne sklepy i punkty usługowe w tym: przychodnia, poczta, piekarnia, kwiaciarnia oraz bazarek.

DODATKOWE ATUTY:
Szybka reakcja Właściciela - pomoc w razie awarii.

Umowa najmu okazjonalnego.

Zapraszam do kontaktu.",https://www.otodom.pl/pl/oferta/urocze-dwupokojowe-mieszkanie-na-bielanach-ID4pKYW
3 100 zł,400 zł/miesiąc,"ul. Wiejska, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",27 m²,1,7,,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,,,"piwnica, oddzielna kuchnia",,,False,"Mieszkanie znajduje się na 7 piętrze w bloku przy ul. Wiejskiej naprzeciwko Hotelu Sheraton. Okna wychodzą na podwórko w kierunku Sejmu. Mimo lokalizacji w ścisłym centrum, w mieszkaniu jest cicho i nie odczuwa się zgiełku miasta. Duże okna i wysokie piętro powodują, że mieszkanie jest jasne, ale latem nie jest w nim goraco, gdyż po południu słońce przechodzi na drugą stronę budynku. Oddzielna kuchnia z dużym oknem. Mieszkanie jest świeżo wyremontowane, w pełni umeblowane i wyposażone: - pojemne szafy, - kanapa dwuosobowa z pojemnikiem na pościel - stół z możliwością rozłożenia na większy - telewizor z kablówką - Internet - pralka - lodówka - zmywarka - mikrofala - piekarnik - płyta indukcyjna Mieszkanie gotowe do zamieszkania od zaraz.",https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-ul-wiejska-ID4pKQF
6 500 zł,520 zł/miesiąc,"ul. Komputerowa, Służewiec, Mokotów, Warszawa, mazowieckie",62 m²,3,7/7,,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2020,"klimatyzacja, piwnica, pom. użytkowe",,,False,"3-pokojowe mieszkanie znajdujące się na Mokotowie, pry ul. Komputerowej. Mieszkanie jest świeżo po remoncie i jeszcze nigdy nie było zamieszkane.

Mieszkanie ma powierzchnie 62 m2 i znajduje się na 7/7 piętrze.
Składa się z trzech pokoi, w tym aneks kuchenny wyposażony w wysokiej klasy sprzęt AGD, sypialni z dużym łóżkiem, urokliwej łazienki z prysznicem i wanną, wygodnego przedpokoju, drugiego pokoju, pom. gospodarczego oraz przestronnego balkonu.

Wielką zaletą tego mieszkania są pokoje wychodzące na wschód i zachód oraz posiadanie klimatyzacji w salonie i w sypialni. Dodatkowo do mieszkania przynależy miejsce postojowe oraz komórka lokatorska.

Istnieje możliwość dokupienia dodatkowych mebli przez właściciela wg preferencji najemcy do drugiego pokoju.

LOKALIZACJA

Doskonała lokalizacja tego mieszkania zapewnia łatwy dostęp do wszystkich najważniejszych punktów użyteczności publicznej.

Do najbliższego przystanku autobusowego/tramwajowego 2/10 minut pieszo.
Lotnisko Chopina – 4 minuty samochodem.
Galeria Mokotów – 10 minut pieszo.

Dodatkowo, w bliskiej odległości znajduje się przystanek SKM.
Mieszkanie znajduje się w dogodnym punkcie, który umożliwia szybkie dotarcie do różnych atrakcji i udogodnień: Calypso, Zdrofit, McFit, piekarnia i żabka (w budynku obok) i różne restauracje.


CENA

Cena - 6500zł (w tym miejsce parkingowe i komurka lokatorska w cenie) + czynsz w wysokości 520 zł. + koszty za zużytą energię elektryczną (która jest rozliczaną według stanów liczników raz na dwa miesiące – około 120 zł na miesiąc).
Kaucja - 6500 zł.
Umowa okazjonalna – min. 1 rok (dokumenty po stronie Najemcy).
Internet oraz TV we własnym zakresie.
Zamieszkania zwierząt - do potwierdzenia.
_
3 bedroom apartment located in Mokotow (ul.Koputerowa). The apartment was renovated in September 2023.
APARTMENT
The apartment is located on the 7/7 floor and has an area of 62m2. Consists of 1 living room with kitchen and access to a spacious balcony, one bedroom, bathroom with both shower and bathtub, laundry room and a second room (that can be turned into another bedroom).
The biggest advantages of the apartment are east and west facing exposure, two ACs, parking space in the underground garage and a storage room.
*There is a possibility to obtain additional furniture from the owner upon tenant's request.
LOCATION
Great location with new surrounding area offers a possibility to reach important destinations with ease. 
Chopin Airport - 4 min by car.
Galeria Mokotow - 10 min by foot.
Public transportation: busses, trams and SKM.
Also nearby you can find bakeries, dry cleaning, gas station, fitness centers (McFit, Calypso, Zdrofit), grocery stores, restaurants, etc.
PRICE
Apartment Fee - 6500zl (parking space and storage room included) + admin. fees around 520zl.
Deposit is required - 6500zl.
Additional paid electricity - around 110zl per month.
Rental period - min. 1 year.
Agreement type - occasional lease.
Internet and TV is not included.
Pets are negotiable.",https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-bezposrednio-mokotow-ID4pNLp
4 500 zł,710 zł/miesiąc,"ul. Przy Forcie 12A, Skorosze, Ursus, Warszawa, mazowieckie",55 m²,2,2/6,apartamentowiec,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2023,tylko dla niepalących,,,False,"Nowe, świeżo wykończone, wcześniej niezamieszkałe mieszkanie, z nowymi meblami, zabudową oraz sprzętem AGD i RTV. Budynek z 2023r. na kameralnym, nowoczesnym, ogrodzonym i strzeżonym osiedlu - Eolian Park, ul. Przy Forcie 12A
Mieszkanie o pow. 55 m2, jest ciche, dobrze nasłonecznione, położone od strony południowej, znajduje się na 2 piętrze i składa się z:
- Salonu oraz w pełni wyposażonego aneksu kuchennego - 27 m2
- Sypialni - 12 m2
- Łazienki z dużą wanną oraz dużym prysznicem - 6 m2
- Garderoby z zabudową - 5 m2
- Hallu - 5 m2
- Balkonu - 4 m2
Do mieszkania przynależy miejsce postojowe w parkingu podziemnym.
Cena najmu: 4.500 zł (+ czynsz administracyjny, aktualnie ok. 710 zł)
Miejsce parkingowe w garażu podziemnym - wliczone w cenę najmu.
Dodatkowo płatna energia elektryczna, Internet oraz ponadnormatywne zużycie wody i ogrzewania.
Kaucja w wysokości podwójnej ceny najmu.
Umowa najmu okazjonalnego na min. 1 rok.
Dla singla lub pary, niepalących, bez zwierząt.",https://www.otodom.pl/pl/oferta/nowe-pierwszy-wynajem-2-pok-55m2-ID4pNLd
2 500 zł,400 zł/miesiąc,"Powiśle, Śródmieście, Warszawa, mazowieckie",21 m²,1,2/4,,,,prywatny,,,nie,,,,,,False,"Oferuję do wynajęcia kawalerkę na warszawski Powiślu. Mieszkanie usytuowane na drugim piętrze. Lokal o powierzchni ok.21 mkw, składa się z jednego pomieszczenia, w którym została wydzielona strefa sypialniano-wypoczynkowa, aneks kuchenny oraz łazienka . Lokal wyposażony jest w niezbędne sprzęty AGD i RTV ( lodówkę, płytę ceramiczną oraz pralkę). Świetna komunikacja. Centrum miasta- w odległości 150 m znajduję się stacja metra - Centrum Nauki Kopernik. W najbliższym sąsiedztwie Uniwersytet Warszawski, Akademia Muzyczna, Elektrownia Powiśle -sklepy, restauracje, kawiarnie. Balkon. Mieszkanie jest gotowe do wynajęcia. Umowa najmu minimum rok, z możliwością przedłużenia. Koszt najmu wynosi 2500 zł plus opłaty do spółdzielni mieszkaniowej oraz opłaty za media(energia elektryczna i woda)400 zł. Całkowity koszt 2900 zł. Kaucja wynosi 2900 zł.",https://www.otodom.pl/pl/oferta/kawalerka-na-rogu-dobrej-i-tamki-ID4pNKK
1 900 zł,,"ul. Feliksa Pancera, Tarchomin, Białołęka, Warszawa, mazowieckie",48 m²,2,3/3,blok,balkon,do zamieszkania,biuro nieruchomości,,"lodówka, meble, kuchenka, telewizor, pralka",nie,,1977,,,,False,"48m2, 2 pokoje przy ul. Pancera. Tarchomin. WYŁĄCZNIE od 1 kwietnia 2024 do 1 grudnia 2024.
!ważne- właściciel nie akceptuje jako najemców osób zagranicznych!

Mieszkanie położone na 3 piętrze w niskim budynku- nie ma windy. Pełne umeblowanie.
2 pokoje- salon z balkonem i sypialnia, kuchnia oddzielna, łazienka. Korytarz na piętrze dodatkowo zamykany.
Cicho, spokojnie, parkowanie auta pod budynkiem, przy ul. Pancera kursuje autobus. Blisko sklep.
Dodatkowo płatne jedynie media według zużycia. Kaucja 1900 zł.
Dla kogo mieszkanie- dla 1 osoby, bez nałogów, bez ""najmłodszych"", bez zwierząt domowych.
Osoby zagraniczne nie będą rozpatrywane (taki jest wymóg właściciela)
.
W przypadku wynajmu lokalu agencja pobiera jednorazową prowizję w wysokości 100% miesięcznego czynszu netto
.
SERDECZNIE ZAPRASZAMY!!!
KONTAKT DO POŚREDNIKA: 602 67 80 80
 ",https://www.otodom.pl/pl/oferta/tarchomin-ul-pancera-2-pokoje-ID4pNKJ
12 000 zł,,"ul. Twarda, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",57 m²,2,> 10/44,,,,biuro nieruchomości,,,nie,garaż/miejsce parkingowe,2011,pom. użytkowe,,,False,"Luksusowy apartament w wyjątkowej inwestycji COSMOPOLITAN w sercu Warszawy.
Mieszkanie zostało całkowicie odnowione, aby zapewnić nowoczesną i stylową przestrzeń mieszkalną, gotową do zamieszkania. 
Doskonała lokalizacja, piękny widok na panoramę miasta.

sypialnia * łazienka z wanną * klub fitness * siłownia * sauny

Na 4 piętrze zlokalizowana została strefa relaksu, dostępna wyłącznie dla właścicieli apartamentów. Składa się ona z fitness klubu z siłownią, pokojem do masażu, saunami, suchą i mokrą, jacuzzi oraz pomieszczeń klubowych. Znajduje się tu również zagospodarowany taras z pięknymi widokami. Dla mieszkańców jest również dostępna usługa concierge.


Apartament o pow 57m2 z widokiem na Warszawę znajduje się na 13 piętrze.
Składa się z:
* salonu
* otwartej kuchni
* sypialni z garderobą
* łazienki z wanną, prysznicem i WC
* dodatkowego pomieszczenia, zaaranżowanego na dużą szafę
* przedpokoju.


Apartament posiada klimatyzację oraz system ""INTELIGENT HOME TECHNOLOGY"", dodatkowo automatyczne rolety po całej długości okien.

Zapraszam na prezentację tej wyjątkowej nieruchomości.
Alona Kuzmychenko
tel. +48 881 201 881
e-mail:",https://www.otodom.pl/pl/oferta/apartament-w-cosmopolitan-nowy-piekny-widok-ID4pM5w
9 000 zł,2 530 zł/miesiąc,"ul. Sułkowicka, Sielce, Mokotów, Warszawa, mazowieckie","111,08 m²",3,6/6,apartamentowiec,balkon,do zamieszkania,biuro nieruchomości,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,garaż/miejsce parkingowe,2009,klimatyzacja,,,False,"Ekskluzywne mieszkanie przy Łazienkach Królewskich

Zapraszamy do wynajęcia uroczego mieszkania 3-pokojowego zlokalizowanego przy prestiżowej ulicy Sułkowickiej, tuż przy zbiegu ulic Gagarina i Belwederskiej w Warszawie. Ta doskonała lokalizacja pozwala na szybki dojazd do Centrum miasta, jednocześnie oferując bliskość natury i spokojne otoczenie.

Cechy apartamentu:
* przestronny salon z aneksem kuchennym
* 2 pokoje
* 2 niezależne łazienki jedna z prysznicem a druga z wanną
* przestronny balkon z pięknym widokiem

Dodatkowe udogodnienia:
* klimatyzacja
* 2 miejsca postojowe w garażu podziemnym
* w budynku znajduje się centrum pilates, fitness i basen

Warunki Najmu:
* Czynsz najmu: 9 000 PLN
* Czynsz administracyjny: 2530 PLN (w tym zaliczki na media)
* Prąd według zużycia 
* Internet oraz TV we własnym zakresie
* Kaucja: 12 000 PLN
* Najem okazjonalny na min. 12 miesięcy 

Zapraszamy do kontaktu w celu uzyskania dodatkowych informacji i umówienia się na prezentację tej wyjątkowej nieruchomości.",https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-na-sulkowickiej-ID4pNKy
2 200 zł,,"ul. Literacka, Stara Miłosna, Wesoła, Warszawa, mazowieckie",33 m²,1,2/3,szeregowiec,balkon,do zamieszkania,prywatny,tak,"lodówka, meble, piekarnik, kuchenka, pralka",nie,,,tylko dla niepalących,52.220698,21.249129,False,"Zapraszam do wynajmu przestronnej, nowocześniej urządzonej kawalerki w dzielnicy Wesoła
Mieszkanie o powierzchni 23 m² na drugim piętrze w 3 piętrowym budynku w nowej zabudowie zostało w pełni wyposażone z myślą o Twoim komforcie i wygodzie. Wyposażenie widoczne jak na zdjęciach-pełne umeblowanie, rozkładane łóżko, pralka oraz kuchnia z kuchenką indukcyjną, piekarnikiem i lodówką. Na życzenie wynajmującego jest możliwość wyposażenia w sprzęt kuchenny wraz z naczyniami, odkurzacz, mop oraz wszystkie niezbędne rzeczy. Do tego mieszkanie dysponuje przestronnym balkonem o powierzchni 10 m², idealnym na poranne kawy czy wieczorne relaksy. A co z parkingiem? Nie martw się – miejsca parkingowe są dostępne bez problemów.
Lokalizacja?
10 minut na pieszo od mieszkania jest Biedronka, KFC, McDonald, Zdrofit a w odległości 200 metrów znajduje się Żabka
Co więcej, w sąsiedztwie znajduje się przystanek autobusowy z 5 liniami autobusów i 1 linią nocną
Mieszkanie jest dostępne do wprowadzenia się „od ręki”. Jest idealne dla osób ceniących spokój i porządek – niestety, nie jest przeznaczone dla palaczy ani właścicieli zwierząt.
Kwestia finansowa? Bardzo atrakcyjna! Brak czynszu i do tego niskie opłaty za prąd, wodę a w tym kanalizacja i śmieci (przy 2 osobach około 350zł miesięcznie)
Nie jestem pośrednikiem, więc masz pewność bezpośredniego kontaktu i jasnych warunków. Jeśli czujesz, że to właśnie to miejsce, którego szukasz, nie wahaj się skontaktować pod numerem 500677060, aby umówić się na obejrzenie mieszkania.",https://www.otodom.pl/pl/oferta/przestronna-kawalerka-23-m-w-wa-wesola-ID4pNKl
