rent_price,additional_fees,location,area,room_num,floor,building_type,extra_space,flat_condition,advertiser_type,students_allowed,furnishings,elevator,parking_space,year_of_construction,additional_information,latitude,longitude,approximate_coordinates,adv_description,link
2 950 zł,850 zł/miesiąc,"ul. Jagiellońska, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",37 m²,2,2/3,blok,balkon,do zamieszkania,prywatny,,"lodówka, meble, kuchenka, telewizor, pralka",nie,garaż/miejsce parkingowe,1970,piwnica,52.269914,21.018121,False,"Gotowe na przyjęcie nowych Lokatorów, dwupokojowe mieszkanie z balkonem
  Dlaczego właśnie to mieszkanie?
1.    Dwa wygodne, niezależne pokoje
2.    Kuchnia z oknem, stanowiąca samodzielne pomieszczenie
3.    Na 2. piętrze w trzypiętrowym budynku, z balkonem
  Warto tu zamieszkać, ponieważ 
1.    Mieszkanie położone jest w spokojnej okolicy, wewnątrz zielonego osiedla
2.    W pobliżu:
a.     dogodna komunikacja: M2 Dworzec Wileński, autobusy i tramwaje ok. 250 metrów; do Centrum 3 przystanki metrem lub 4 tramwajem (ok. 12 minut) 
b.    Galeria handlowa, sklepy, restauracje i knajpki 
c.     W bezpośrednim sąsiedztwie Park Praski i tereny nad Wisłą, idealne do rekreacji i odpoczynku, dające możliwość aktywnego i interesującego spędzania czasu 
d.    Niedaleko niedawno otwarta kładka pieszo-rowerowa, łącząca Pragę z Powiślem, dzięki której szybko znajdziemy się na bulwarach wiślanych z ich licznymi atrakcjami, w Elektrowni Powiśle, w Centrum Nauki Kopernik czy w Bibliotece BUW.
3.   Cała infrastruktura miejska dostępna w zasięgu spaceru: poczta, przychodnie, urzędy, basen, sklepy (Galeria Wileńska), restauracje.
4.   Przy budynku miejsca parkingowe bezpłatne dla mieszkańców (identyfikator)
   Wyposażenie:
1.    Meble 
2.    Lodówka
3.    Kuchnia gazowa z piekarnikiem 
4.    Pralka 
5.    Telewizor
6.    Możliwość podłączenia internetu przez Najemcę 
  Media rozliczane na podstawie faktur/rozliczeń Administracji, udostępniane Najemcom. Wynajmujący jest właścicielem (wynajem bezpośredni). 
   ",https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-w-swietnej-lokalizacji-metro-ID4qJzS
2 900 zł,900 zł/miesiąc,"ul. Jutrzenki, Salomea, Włochy, Warszawa, mazowieckie",42 m²,2,2/6,blok,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2023,tylko dla niepalących,52.190041,20.927192,False,"NAJEM OKAZJONALNY Dwupokojowy apartament na wynajem w nowym budownictwie na Włochach przy ul. Jutrzenki, usytuowany na piętrze 2/6, świeżo po remoncie, dostępny od zaraz. Stan wyposażenia: - Sprzęt AGD (zmywarka, lodówka z zamrażarką, piekarnik, płyta indukcyjna, pralka). - W sypialni łóżko szer.160cm oraz pojemna szafa szer.180cm. - Salon z aneksem kuchennym oraz funkcjonalną wyspą wysposażoną w dodatkowe szafki i szuflady - Salon - podstawowe umeblowanie - sofa stolik kawowy, ława. TV oraz internet we własnym zakresie. Cena wynajmu zawiera miejsce postojowe w garażu podziemnym oraz dostęp do osiedlowej siłowni. Lokalizacja: Przy węźle komunikacyjnym z dobrym dojazdem do centrum (autobus, SKM, na osiedlu Żabka a w pobliżu Biedronka i Leclerc). Miesięczne opłaty: Cena wynajmu 2900zł + 900zł/mies. czynsz administracyjny wraz z zaliczkami na wodę/prąd (nadpłaty/niedopłaty rozliczane co 6mies.) Kaucja 5000 zł.",https://www.otodom.pl/pl/oferta/nowe-dwupokojowe-mieszkanie-z-miejscem-garazowym-ID4qHtx
3 800 zł,860 zł/miesiąc,"ul. Zwycięzców, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",64 m²,2,4/6,apartamentowiec,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2000,,52.232206,21.059487,False,"Mieszkanie 2 pokoje, łazienka i WC oddzielnie, kuchnia otwarta, loggia, po remoncie, w nowszym budynku z 2000 roku, z ochroną, miejscem w garażu podziemnym i dostępem do parkingu naziemnego, przy przystanku autobusowym, 5 minut na piechote od Trasy Łazienkowskiej, 15 minut pieszo od Parku Skaryszewskiego. W najbliższej okolicy szkoła, sklepy, restauracje, śniadawnie, targ warzywny.
  Mieszkanie bardzo jasne, nowa kuchnia, piekarnik, zmywarka, pralka, wanna, szafa w zabudowie. Istnieje możliwość domeblowania.
4 pietro z widokiem na ulicę, drzewa.",https://www.otodom.pl/pl/oferta/64m2-saska-kepa-zielony-widok-i-garaz-2-pokoje-ID4qGK0
3 050 zł,850 zł/miesiąc,"ul. Obrońców Tobruku, Fort Bema, Bemowo, Warszawa, mazowieckie",53 m²,2,3/5,apartamentowiec,balkon,do zamieszkania,biuro nieruchomości,,meble,tak,,2005,,52.25669,20.93289,False,"Prezentujemy Państwu jasne, w pełni wyposażone mieszkanie 53 m2, 2 pok. Mieszkanie znajduje się na zamkniętym osiedlu na Bemowie przy ul. Obrońców Tobruku 19.

Przestronne, widne, funkcjonalne mieszkanie gotowe do zamieszkania. Strzeżone, ciche i kameralne osiedle. 

W skład mieszkania wchodzi:
- salon z aneksem kuchennym,
- sypialnia (z możliwością przearanżowania na gabinet)
- łazienka,
- przedpokój,
- balkon

Atuty mieszkania:
- W najbliższym otoczeniu znajduje się pełna infrastruktura handlowo-usługowa: przedszkola, sklepy, szkoła z basenem oraz kompleksy obiektów sportowych wraz z boiskami piłkarskimi, halą sportową i siłownią
- Zielona okolica - mieszkanie znajduje się w pobliżu parku i lasu, co zapewnia łatwy dostęp do terenów rekreacyjnych
- Mieszkanie usytuowane w idealnym położeniu komunikacyjnym - w pobliżu stacje dwóch linii metra
- Do mieszkania przynależy miejsce parkingowe w cenie

Szczegóły najmu: 
- Czynsz najmu: 3050 zł
- Czynsz administracyjny 850 zł
- Dodatkowo płatny prąd oraz gaz
- Kaucja zabezpieczająca w wysokości 5000 zł
- Umowa na min. 12 miesięcy

Możliwość doposażenia mieszkania w łóżko do sypialni.
Mieszkanie dostępne od zaraz. 

Serdecznie zapraszamy do kontaktu i na prezentację!",https://www.otodom.pl/pl/oferta/bemowo-fort-bema-2-pok-dostepne-od-zaraz-ID4qGqi
3 300 zł,450 zł/miesiąc,"ul. Graniczna, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",35 m²,2,> 10/15,blok,,do zamieszkania,biuro nieruchomości,,meble,tak,,,,52.23854,21.00287,False,"Oferujemy przestronne, jasne i funkcjonalne mieszkanie o powierzchni 35m2 przy ul. Granicznej na Śródmieściu. Wnętrza są doskonale doświetlone naturalnym światłem, co nadaje im wyjątkowy charakter. Lokal jest w pełni wyposażony w niezbędne sprzęty AGD, takie jak lodówka, płyta indukcyjna, pralka i zmywarka.

Oferowana nieruchomość ogrzewana jest: c.o. z sieci miejskiej.
Mieszkanie dostępne od zaraz.
Możliwość wynajęcia miejsca postojowego za dodatkowe 300 zł.

Okolica:
- W najbliższym otoczeniu znajduje się pełna infrastruktura handlowo-usługowa: żłobek, przedszkola, placówki oświatowe, placówki medyczne, sklepy, kawiarnie, mnóstwo restauracji i wiele innych ciekawych miejsc;
- Park Mirowski - 3 min pieszo,Słynny Ogród Saski - 5 min pieszo, Hala Mirowska - 5 min pieszo, Park Świętokrzyski - 8 min pieszo,P ałac Kultury i Nauki - 8 min pieszo, Złote tarasy- 10 min pieszo
- Rozwinięta komunikacja transportu publicznego: metro - M1 stacja Świętokrzyska tylko 5 min pieszo; M2 stacja Rondo ONZ  - 7 min pieszo ; M1 stacja Ratusz Arsenał 8 min pieszo, autobusy - 3 min pieszo, tramwaje - 4 min pieszo,Dworzec Centralny - 15 min pieszo.

Mieszkanie idealne dla singla lub pary, którym zależy na doskonałej lokalizacji oraz na wyjątkowych widokach.

Warunki najmu:
- czynsz najmu 3300 zł
- czynsz administracyjny 450 zł
- zaliczka na prąd w wysokości 150 zł (do rozliczenia)
- umowa najmu okazjonalnego na min. 12 miesięcy
- kaucja zabezpieczająca w wysokości jednego miesiąca czynszu


Serdecznie polecam i zapraszam na prezentację ! :)",https://www.otodom.pl/pl/oferta/srodmiescie-15-pietro-metro-swietokrzyska-ID4qGpZ
5 000 zł,1 100 zł/miesiąc,"ul. Sienna, Solec, Śródmieście, Warszawa, mazowieckie",50 m²,2,5/8,apartamentowiec,balkon,do zamieszkania,biuro nieruchomości,,"meble, piekarnik, lodówka, pralka, telewizor, zmywarka",tak,garaż/miejsce parkingowe,2012,pom. użytkowe,52.22902,21.03611,False,"W ofercie biura KaDOM przezentujemy Państwu mieszkanie 2-pokojowe o powierzchni 50m2 przy ul. Siennej na 5 piętrze wysokiego, 8-piętrowego apartamentowca - Villa Karolina.

SKŁAD MIESZKANIA:

Salon z aneksem kuchennym: podłogi z jesionowej deski, TV, w pełni umeblowane
Sypialnia: wygodne łóżko Queen Size, z przestrzenią do pracy
Łazienka: elegancka, z wykończeniami czarnego marmuru, prysznic
Garderoba
Balkon: umeblowany, z dostępem zarówno z salonu jak i sypialni
Przedpokój: wyłożony granitem Kaszmir White

UDOGODNIENIA:

Dla mieszkańców dostępne są ekskluzywne udogodnienia takie jak sala fitness, sauna oraz basen z możliwością rezerwacji na wyłączność.
Budynek dysponuje również eleganckim patio z recepcją oraz całodobową ochroną.

LOKALIZACJA I DOSTĘPNOŚĆ KOMUNIKACYJNA:

Metro RONDO ONZ: 5 minut na pieszo
Browary Warszawskie: 10 minut na pieszo
Dworzec Centralny: 10 minut na pieszo
Przystanek autobusowy oraz tramwajowy: 2 minuty na pieszo
Lotnisko Okęcie: 8 km

Okolica wokół apartamentu jest spokojna i zapewnia bezpieczeństwo. Przestrzeń między poszczególnymi budynkami zdobi wewnętrzny ogród, bogaty w krzewy i kwiaty.


EKSPOZYCJA I ŚWIATŁO:

Mieszkanie ma południowo-zachodnią ekspozycję, co zapewnia obfite naturalne światło przez cały dzień.


WARUNKI NAJMU:

Czynsz najmu -5000 PLN
Czynsz administracyjny- 1100 PLN
Kaucja zabezpieczająca - 6000 PLN.
Miejsce parkingowe w garażu podziemnym i duża komórka lokatorska -500 PLN.
Prąd według zużycia
Minimalny okres najmu 12 miesięcy, umowa najmu okazjonalnego

Zapraszamy do zapoznania się z tą wyjątkową ofertą, idealną dla tych, którzy cenią sobie komfort i dostępność miejskich atrakcji.",https://www.otodom.pl/pl/oferta/scisle-centrum-2-pokoje-basen-ul-sienna-ID4qFO8
2 800 zł,400 zł/miesiąc,"ul. Tarchomińska, Szmulowizna, Praga-Północ, Warszawa, mazowieckie",32 m²,1,4/5,kamienica,,do zamieszkania,biuro nieruchomości,,meble,tak,,,piwnica,52.25567,21.04751,False,"W ofercie biura KaDOM prezentujemy Państwu na wynajem kawalerkę o powierzchni 32 m2, położoną na 4 piętrze, 5-piętrowej kamienicy, znajdującej się na warszawskiej Pradze, przy ulicy Tarchomińskiej 3.

W skład mieszkania wchodzi:
- Sypialnia
- Kuchnia
- Łazienka
- Przedpokój 

Atuty mieszkania:
- po generalnym remoncie
- pełne, nowe wyposażenie i umeblowanie
- okna od strony dziedzińca
- do mieszkania przynależy duża piwnica
- idealne położenie, w niedalekiej odległości m.in. Koneser czy Dworzec Wschodni
- 8 min. piechotą do metra 

Szczegóły najmu: 
- Czynsz najmu: 2800 zł
- Czynsz administracyjny: 400 zł
- Dodatkowo płatny prąd i gaz
- Kaucja: 4500 zł
- Umowa najmu okazjonalnego na min. 12 miesięcy

Mieszkanie dostępne jest od zaraz. 

Serdecznie zapraszamy do kontaktu i na prezentację!",https://www.otodom.pl/pl/oferta/cicha-przytulna-kawalerka-na-pradze-przy-koneserze-ID4qGqb
3 599 zł,480 zł/miesiąc,"Osiedle przy Arkadii, Powązki, Wola, Warszawa, mazowieckie",42 m²,2,4/12,blok,"balkon, taras",do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",tak,,2017,"piwnica, pom. użytkowe",52.256425,20.979331,False,"Wynajmę bezpośrednio 2-pokojowe mieszkanie przy ul. Kłopot obok C.H. Westfield Arkadia składające się z salonu z aneksem kuchennym, sypialni, łazienki oraz przedpokoju. Z obu pomieszczeń wyjście na balkon z widokiem na patio.
Do nieruchomości przynależy komórka lokatorska 4,84m2 (murowana i zamykana na antywłamaniowe drzwi) znajdująca się obok wejścia do mieszkania więc można traktować to jako „trzeci pokój”.
Nowoczesny budynek z 2017 r. z windą, monitoringiem i ochroną.
W pełni wyposażone (jak na zdjęciach) w tym zmywarka, pralka, mikrofala i TV 49”.
Doskonała lokalizacja: do przystanku tramwajowego, C.H. Arkadia czy stacji rowerów miejskich ok. 300m (ok. 3 minuty), Metro i Dworzec Gdański ok. 10 minut pieszo.
Mieszkanie jak nowe, zamieszkiwane dotychczas okazjonalnie przez osobę pracującą stale w USA, dostępne ręki.
Preferowane osoby bez nałogów i bez zwierząt.
Pośredników zapraszam do kontaktu jedynie z klientem.
Cena: 3599 zł + czynsz ok. 480 zł + prąd wg. zużycia. Kaucja: 5000 zł. Umowa najmu okazjonalnego.",https://www.otodom.pl/pl/oferta/mieszkanie-obok-c-h-arkadia-i-metra-komorka-ID4qE6C
3 000 zł,1 300 zł/miesiąc,"ul. Gwiaździsta, Marymont-Potok, Żoliborz, Warszawa, mazowieckie",64 m²,2,5/10,blok,balkon,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,,"tylko dla niepalących, oddzielna kuchnia",52.281664,20.984463,False,"Wynajmę dwa duże pokoje z balkonem, na zielonym Żoliborzu.
z umeblowaniem, sypialnie z łóżkami 150 cm szerokości, pojemne szafy,
Łazienka z pełnym wyposażeniem i oddzielne WC.
Kuchnia z pełnym wyposażeniem: pralka, lodówka, zmywarka, kuchnia gazowa, piekarnik.
Blisko parku Kępa Potocka,
Baseny, korty tenisowe, ścieżki treningowe i place zabaw,
Tereny spacerowe parkowe i leśne w pobliżu.
Najlepsze miejsce do mieszkania.
Przystanek autobusowy na dole,
Sklep spożywczy i warzywniczy na dole.
Do metra i pl. Wilsona 7 min. spacerem.
Wynajem na zasadach najmu okazjonalnego!
Wolne od zaraz.
Zapraszam :)",https://www.otodom.pl/pl/oferta/64-mkw-przy-parku-potok-blisko-metro-ID4qJSi
2 400 zł,,"Stary Rembertów, Rembertów, Warszawa, mazowieckie",30 m²,1,2/4,blok,"balkon, taras",do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, pralka",tak,garaż/miejsce parkingowe,2010,"tylko dla niepalących, oddzielna kuchnia",52.25906,21.17363,True,"Wynajmę kawalerkę 30 m2 Warszawa Rembertów , ul . Kramarska w pełni wyposażoną i umeblowaną. Mieszkanie znajduje się na 2 piętrze – 4 piętrowego bloku z windą. Składa się z pokoju, z którego wychodzi się na 8 metrową loggię , oddzielnej kuchni , łazienki i korytarza z wbudowaną szafą wnękową (zdjęcia w załączeniu). W cenie najmu jest naziemne miejsce postojowe  znajdujące się na terenie ogrodzonego i monitorowanego osiedla. Cicha spokojna okolica , obok tereny leśne. W odległości 300 m od bloku znajduje się przystanek autobusowy. Dzielnica dobrze skomunikowana z resztą Warszawy (kolej miejska SKM oraz autobusy).
Cena najmu to 2400 zł. plus media ( gaz, prąd, woda – ciepła i zimna). Kaucja w wysokości jednomiesięcznego czynszu. Tylko wynajem dłuższy (minimum 1 rok). Bez zwierząt. W mieszkaniu obowiązuje całkowity zakaz palenia. Wolne od zaraz. Nie zgadzam się na kontakt pośredników i biur nieruchomości.
Telefon 575-726-801.",https://www.otodom.pl/pl/oferta/wynajme-przytulna-kawalerke-30m2warszawa-rembertow-ID4qE1Z
