title,rent_price,area_room_num,floor,ogrzewanie,flat_condition,available_from,deposit,advertiser_type,additional_information,location,latitude,longitude,approximate_coordinates,year_of_construction,elevator,building_type,security,equipment,utilities,safeguards,announcement_date,adv_description,link
Luxury Apartament&Mokotow&Prestige&Park,"10 900 zł
/miesiąc","126m²
4 pokoje",1/2,miejskie,do zamieszkania,2025-01-13,,biuro nieruchomości,"balkon
garaż/miejsce parkingowe","ul. Kwiatu Paproci, Stegny, Mokotów, Warszawa, mazowieckie",52.181208,21.038262,False,2023,tak,apartamentowiec,,klimatyzacja,internet,domofon / wideofon,"(None,)","*Atrakcyjny apartament na dolnym Mokotowie *


Prestige Real Estate prezentuje; doskonale zlokalizowany apartament w nowej inwestycji na Dolnym Mokotowie.
Mieszkanie to ponad 126m2 położone na 1 piętrze 2 piętrowego budynku

Mieszkanie jest jasne i przestronne. Znajdziemy w nim dużą część dzienną połączoną z aneksem kuchenny w której ze swobodą zmieści się także duży stół, tworzący przestrzeń jadalni i rodzinnego życia mieszkańców. Z salonu mamy wyście na jeden z 2 tarasów a ogromne 2 okna zapewniają ogrom światła oraz nieinwazyjną odległość innych budynków na osiedlu. W części dziennej znalazło się miejsce także na toaletę. Korytarzem natomiast dojdziemy do 3 jasnych sypialni, wszystkie z nich posiadają otwierane okna wysokie na ok 1,7m a ostatnia z nich jest pokojem z oknami na 2 ścianach i wejściem na 2gi taras w mieszkaniu. W części prywatne znajdziemy także łazienkę z wanną. Istnieje możliwość umeblowania wnętrza oraz pomalowania ścian na wybrany przez przyszłych lokatorów kolor.


Czynsz zawiera koszty zaliczki na wodę, ścieki, śmieci, centralne ogrzewanie.
Koszty eksploatacji, 2 miejsca parkingowe zawarte w czynszu.

Czynsz administracyjny nie zawiera kosztów mediów prądu i internetu.

O INWESTYCJI:
Inwestycja Wille Bergamotki.
Budynek posiada parking podziemny i trzy kondygnacje nadziemne.
Kameralny budynek w niskiej zabudowie. Zielone otoczenie i przyjazna architektura niewątpliwie są atutem nieruchomości.
Lokal usytuowany jest na 1 piętrze.

LOKALIZACJA:
Budynek zlokalizowany jest na Dolnym Mokotowie przy ul. Kwiatu Paproci, wjazd od Alei Gen. Władysława Sikorskiego,
Dobra lokalizacja trochę na zapomnianym terenie na którym niegdyś PRL-owskie władze chciały urządzić park imienia przyjaźni polsko-radzieckiej. Kameralny budynek w niskiej zabudowie. Zielone otoczenie i przyjazna architektura niewątpliwie są atutem nieruchomości.
Lokalizacja zapewnia swobodny dostęp do środków transportu publicznego.

NASZYM ZDANIEM:
Doskonały lokal dla rodziny, dla osób ceniących kameralny charakter miejsca oraz lubiących korzytać z miejskich atrakcji.


Zapraszamy na prezentację !









*Attractive apartment in lower Mokotów *


Prestige Real Estate presents; a perfectly located apartment in a new investment in Dolny Mokotów.
The apartment is over 125m2 located on the 1st floor of a 2-story building

The apartment is bright and spacious. There is a large living area combined with a kitchenette, which can easily accommodate a large table, creating a space for the dining room and family life of the residents. From the living room we have access to one of the 2 terraces, and 2 huge windows provide plenty of light and a non-invasive distance from other buildings on the estate. In the living area there is also a place for a toilet. Through the corridor we reach 3 bright bedrooms, all of which have opening windows about 1.7 m high, and the last one is a room with windows on 2 walls and an entrance to the 2nd terrace in the apartment. In the private part we will also find a bathroom with a bathtub. There is a possibility of furnishing the interior and painting the walls in the color chosen by the future tenants.


The rent includes advance payments for water, sewage, garbage, and central heating.
Operating costs, 2 parking spaces included in the rent.
Common area and parking space ratio 0%

The administrative rent does not include the costs of electricity and internet.

ABOUT THE INVESTMENT:
Investment Villas Bergamotki.
The building has an underground car park and three above-ground floors.
Intimate building in low-rise development. Green surroundings and friendly architecture are undoubtedly the assets of the property.
The premises is located on the 1st floor.

LOCATION:
The building is located in Dolny Mokotów at Kwiatu Paproci Street, entrance from Aleja Gen. Władysława Sikorskiego,
Good location, somewhat forgotten area, where the Polish People's Republic authorities once wanted to create a park named after Polish-Soviet friendship. Intimate building in low-rise development. Green surroundings and friendly architecture are undoubtedly the assets of the property.
The location provides easy access to public transport.

IN OUR OPINION:
A perfect place for a family, for people who value the intimate nature of the place and like to take advantage of the city's attractions.


We invite you to the presentation!









ORGANIZUJEMY RÓWNIEŻ PREZENTACJE ONLINE ORAZ WIDEO

Organizujemy zdalne wizyty za pośrednictwem popularnych komunikatorów oraz posiadamy wiele filmów naszych nieruchomości.

Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.
Jako profesjonalna Agencja Nieruchomości pobieramy prowizję w przypadku zawarcia umowy najmu lub sprzedaży.
W przypadku zgłoszenia telefonicznego lub wiadomości przetwarzamy dane osobowe zgodnie z RODO w celu przedstawienia oferty. Administratorem danych osobowych jest Prestige Real Estate sp. z o. o. z siedzibą w Warszawie przy ul. Solec 18/20. Mają Państwo prawo w dowolnym momencie do modyfikacji danych lub wycofania zgody.

PRESTIGE REAL ESTATE - WYNAJEM DŁUGOTERMINOWY i SPRZEDAŻ NIERUCHOMOŚCI PREMIUM

Nasze specjalizacje: mieszkania na wynajem i sprzedaż w Warszawie, luksusowe domy na sprzedaż i wynajem, nieruchomości dla firm i ambasad, obsługa ekspatów, sprzedaż luksusowych nieruchomości Premium.

Więcej szczegółów oraz ofert naszej stronie internetowej


_______
English:

WE ORGANIZE ONLINE AND VIDEO PRESENTATIONS
Ask about a remote visit.


The content of this announcement does not constitute an offer within the meaning of the Civil Code.
As a professional Real Estate Agency, we charge a commission.
In the case of contact via telephone or message, we process personal data in accordance with the GDPR in order to present an offer. The administrator of personal data is Prestige Real Estate sp. z o. o. with its registered office in Warsaw at ul. Solec 18/20. You have the right to modify your data or withdraw your consent at any time.

Prestige Real Estate Agency - Apartments and houses for rent or sell in Warsaw.

Our specialization:
Luxury properties for rent or sell in Warsaw, apartments and houses for embassy employees and expats, penthouses with best views in Warsaw, houses near American, British and French schools.

For more visit our website

Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/luxury-apartament-mokotow-prestige-park-ID.4w1lV
4 Pokoje/ 15M Taras/ Pożądana Lokalizacja,"8 000 zł
/miesiąc","87m²
4 pokoje",2/4,,do zamieszkania,2025-05-18,0,biuro nieruchomości,"taras
garaż/miejsce parkingowe","ul. Krzysztofa Kieślowskiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",52.16408,21.07949,False,2016,nie,,,,,,"(None,)","Avenue Estate prezentuje 3 pokojowy, przestronny, słoneczny apartament położony w ekskluzywnej dzielnicy Warszawy Miasteczku Wilanów.

 


Atuty


pożądana lokalizacja

duży taras 15 m2

bardzo dobre naturalne nasłonecznienie

duża ilość przeszkleń


Nieruchomość
Mieszkanie usytuowane jest na 2 piętrze w 4 piętrowym eleganckim budynku, wykończonym w wysokim standardzie, na osiedlu strzeżonym, monitorowanym 24h.
Prezentowany apartament to połączenie elegancji i nowoczesnego designu.Drewniane podłogi, meble wykonane na zamówienie.
Powierzchnia mieszkania została zaprojektowana i wykorzystana w bardzo precyzyjny sposób.

Mieszkanie jest dwustronne, bardzo jasne, słoneczne, przestronne oraz ciche.
Niewątpliwym atutem mieszkania jest duży 15m taras.

Rozkład pomieszczeń
• salon z aneksem kuchennym 28 m2
• sypialnia 1     9,11m2
• łazienka 1      2,81m2
• sypialnia 2     10,11m2
• sypialnia 3     9,98m2
• łazienka 2      4,86
• taras              15m2
• balkon


Lokalizacja
Apartament mieści się na cichym, spokojnym osiedlu w Miasteczku Wilanów. Lokalizacji nie trzeba długo przedstawiać. Znakomita infrastruktura. W bliskim sąsiedztwie prestiżowe szkoły miedzynarodowe: WB Polsko-Niemiecka Szkoła Spotkan i Dialogu, British Primary School of Wilanów, High School Academeia, American School of Warsaw, Międzynarodowa Szkoła Europejska, szkoły podstawowe, przedszkola i żłobki.


W niedalekiej odległości znajduje się przystanek autobusowy z dogodnymi połączeniami do centrum oraz stacji metra. W najbliższej okolicy znajdują się liczne restauracje, sklepy, kawiarnie, punkty usługowe, drogerie.

W bezpośrednim sąsiedztwie znajduje się Pałac w Wilanowie. Dobrze przygotowane, liczne ścieżki rowerowe prowadzą do oddalonego o kilka kilometrów Parku Kultury w Powsinie oraz do pięknych, dzikich nadwiślańskich plaż. Nowo otwarta Południowa Obwodnica umożliwia szybkie połączenie z Ursynowem i metrem na Kabatach.

Dodatkowe informacje


Umowa najem okazjonalny

Kaucja jednomiesięczna

Czynsz administracyjny płatny dodatkowo 1500PLN
Miejsce parkingowe 300PLN

Opłaty licznikowe płatne dodatkowo

Do mieszkania przynależy miejsce parkingowe.



Jeżeli maja Państwo więcej pytań zapraszam do kontaktu i na prezentację apartamentu.

 



Avenue Estate presents a 3-room, spacious, sunny apartment located in the exclusive Miasteczko Wilanów district of Warsaw.

 


Advantages


desired location

large terrace 15 m2

very good natural sunlight

large amount of glazing



Property
The apartment is located on the 2nd floor of a 4-story elegant building, finished to a high standard, in a guarded estate monitored 24 hours a day.
The presented apartment is a combination of elegance and modern design. Wooden floors, custom-made furniture.
The area of the apartment was designed and used in a very precise way.

The apartment is two-sided, very bright, sunny, spacious and quiet.
The undoubted advantage of the apartment is a large 15 m terrace.

Room layout
• living room with kitchenette 28 m2
• bedroom 1 9.11 m2
• bathroom 1 2.81 m2
• bedroom 2 10.11 m2
• bedroom 3 9.98 m2
• bathroom 2 4.86
• terrace 15 m2
• balcony


Location
The apartment is located in a quiet, peaceful housing estate in Miasteczko Wilanów. The location doesn't need much introduction. Excellent infrastructure. In close proximity, prestigious international schools: WB Polish-German School of Meeting and Dialogue, British Primary School of Wilanów, High School Academeia, American School of Warsaw, International European School, primary schools, kindergartens and nurseries.

There is a bus stop nearby with convenient connections to the center and the metro station. In the immediate vicinity there are numerous restaurants, shops, cafes, service points and drugstores. In the immediate vicinity there is the Wilanów Palace.



Well-prepared, numerous bicycle paths lead to the Culture Park in Powsin, a few kilometers away, and to beautiful, wild beaches on the Vistula River. The newly opened Southern Bypass enables a quick connection to Ursynów and the metro in Kabaty.

Additional information


Occasional rental agreement

One-month deposit

Administrative rent payable additionally PLN 1,500
Parking place PLN 300

Metering fees payable additionally

The apartment comes with a parking space.



If you have any more questions, please contact me and view the apartment.",https://www.otodom.pl/pl/oferta/4-pokoje-15m-taras-pozadana-lokalizacja-ID4w2Jz
Przestronne Mieszkanie / Blisko Galerii Blue City,"2 700 zł
/miesiąc","46m²
1 pokój",2/2,elektryczne,do zamieszkania,2025-02-20,0,biuro nieruchomości,garaż/miejsce parkingowe,"ul. Nowoberestecka, Szczęśliwice, Ochota, Warszawa, mazowieckie",52.21073,20.95362,False,,nie,,,"meble
piekarnik
lodówka
pralka",,,"(None,)","Oferuję do wynajęcia mieszkanie o pow. 46m2 , zlokalizowane przy ul. Nowoberestecka. Usytuowane na 2. piętrze w domu wolnostojącym.

- Mieszkanie przestronne,
- Jasne i zadbane,
- Dużo miejsca do przechowywania.

LOKAL SKŁADA SIĘ Z:
- kuchni wraz z jadalnią,
- łazienki z prysznicem,
- sypialni z wbudowaną szafą oraz łóżkiem.

PARKING
Do mieszkania przynależy miejsce parkingowe dodatkowo płatne.

LOKALIZACJA
Mieszkanie znajduje się obok galerii handlowej Blue City oraz Reduta. W pobliżu liczne sklepy spożywcze, piekarnie, kawiarnie, punkty gastronomiczne, siłownie, placówki medyczne oraz edukacyjne, park Szczęśliwicki oraz dworzec PKP i PKS.
 
KOMUNIKACJA
> 2 minuty od przystanek autobusowy
> 1,3 km od Dworzec PKP i PKS Warszawa Zachodnia

OPŁATY:
Wynajem 2700 zł miesięcznie + media wg. zużycia
Miejsce parkingowe 150 zł miesięcznie
Kaucja 5400 zł.

Umowa Najmu Okazjonalnego na min. rok z możliwością przedłużenia.

Zapraszam na prezentację !

W swojej ofercie posiadamy również dodatkowe usługi takie jak: projektowanie i remonty wnętrz wraz z ich nadzorem, usługę zarządzania najmem oraz doradztwo kredytowe. Zapraszamy do kontaktu, chętnie udzielimy więcej informacji!",https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-blisko-galerii-blue-city-ID4w2Xg
"Mieszkanie, 30,65 m2, 2 pokoje, stan idealny","2 700 zł
/miesiąc","30.65m²
2 pokoje",3/5,miejskie,do zamieszkania,,,biuro nieruchomości,balkon,"ul. Krochmalna, Mirów, Wola, Warszawa, mazowieckie",52.23491,20.983095,False,1935,tak,kamienica,monitoring / ochrona,meble,"telewizja kablowa
internet",,"(None,)","Mieszkanie na wynajem - 2 pokoje, łazienka, loggia, wysoki standard wyposażenia i wykończenia, w klimatycznej odnowionej i odrestaurowanej modernistycznej kamienicy z okresu międzywojennego - Warszawa Wola, ul. Krochmalna/Jana Pawła II
(prezentacje od 1.03.2025)
FUNKCJONALNE, ROZKŁADOWE MIESZKANIE W IDEALNYM STANIE WYKOŃCZENIA I WYPOSAŻENIA!
DOSKONAŁA PROPOZYCJA DLA SINGLA, PARY, OSÓB CENIĄCYCH KOMFORT I BEZPOŚREDNIE OTOCZENIE CENTRUM WARSZAWY!
BARDZO DOBRA LOKALIZACJA, BEZPOŚREDNIA BLISKOŚĆ TERENÓW REKREACYJNYCH, ZIELONYCH - PARK MIROWSKI, PARK ŚWIĘTOKRZYSKI, OGRÓD SASKI!
DOSKONAŁA KOMUNIKACJA - METRO RONDO ONZ - 500 m!, TRAMWAJ/AUTOBUS - 100 m!
CHARAKTERYSTYKA NIERUCHOMOŚCI:
Dwupokojowe, jasne, ustawne mieszkanie usytuowane na trzecim piętrze, w odrestaurowanej kamienicy z okresu międzywojennego.
Mieszkanie o pow. 30,65 m2, wysokość 3 m - składa się z niżej wymienionych pomieszczeń:
1. salon - 16 m2 z aneksem kuchennym (4m2)
2. sypialnia - 7,4 m2
3. hall - 4,25 m2
4. łazienka z WC - 3 m2
5. loggia - 1,5 m2
Mieszkanie idealnym stanie wyposażenia i wykończenia. Na ścianach gładzie gipsowe. Stolarka okienna z PVC. Na podłogach w salonie, aneksie, sypialni - wysokiej jakości panele , w hallu i łazience - gres. Mieszkanie w pełni umeblowane i wyposażone. Salon z aneksem kuchennym - w aneksie meble kuchenne - w zabudowie płyta indukcyjna, piekarnik, okap, zlewozmywak, lodówka oraz część jadalna - stół z czterem krzesłami, w salonie - część wypoczynkowa z kanapą rozkładaną, komodą i telewizorem. W sypialni dwuosobowe łoże oraz duża szafa trzydrzwiowa. W hallu pojemna szafa 2 drzwiowa, lustro ścienne. Łazienka z WC, kabiną prysznicową, umywalką, szafką, lustrem. Mieszkanie ciepłe, doskonale doświetlone, przestrzenne z uwagi na wysokie pomieszczenia, o południowej ekspozycji okien. Wszystkie media miejskie.
STAN PRAWNY/OPŁATY:
Czynsz najmu: 2700 zł/m-c
Czynsz do wspólnoty: 550 zł/m-c (należy doliczyć do czynszu najmu)
Kaucja: 3250 zł
Czas najmu: minimum 1 rok
HANDEL/USŁUGI:
Bezpośrednia bliskość punktów handlowych i usługowych, sklepów całodobowych, restauracji, pubów, szkół i przedszkoli, uczelni wyższych.
KOMUNIKACJA:
Ścisłe centrum Warszawy - autobus/tramwaj - przystanki 100 metrów od budynku, METRO ONZ - 500 m, świetny dojazd we wszystkich kierunkach z ulicy Jana Pawła II, m.in. na Wisłostradę, trasę S8 i autostradę A2, Południową Obwodnicę Warszawy, lotnisko!
OKOLICA/REKREACJA:
Bezpośrednia bliskość terenów rekreacyjnych, wypoczynkowych - Park Mirowski - 100 m, Park Świętokrzyski - 600 m, Ogród Saski - 650 m.
POLECAM I ZACHĘCAM DO OBEJRZENIA
Chętnie udzielę Państwu dodatkowych informacji
Zapraszam do kontaktu
Krzysztof
AS IMMOBILIA BIURO NIERUCHOMOŚCI
Doradca d/s Nieruchomości
Tel. Skontaktuj się

Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/mieszkanie-30-65-m2-2-pokoje-stan-idealny-ID4w3kK
"kawalerka 18 m2 na Gocławiu, nowa, pętla Gocław !!","2 500 zł
/miesiąc","18m²
Wynajmę również studentom
1 pokój
tylko dla niepalących",1/6,miejskie,do zamieszkania,2025-03-01,3 000 zł,prywatny,tylko dla niepalących,"ul. Władysława Umińskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",52.223906,21.10251,False,2024,tak,blok,,"zmywarka
lodówka
meble
kuchenka
pralka","telewizja kablowa
internet","drzwi / okna antywłamaniowe
domofon / wideofon","(None,)","Do wynajęcia kawalerka z odrębną łazienką i aneksem kuchennym. 
Mieszkanie nowe, blok z 2024 r., lokalizacja przy pętli autobusowej Gocław. Mieszkanie dla 1 lub 2 osób.
Dojazd do centrum autobusem 507 zajmuje ok. 20 minut, dojazd na Domaniewską ok. 35-40 minut.
W mieszkaniu odrębna łazienka (kabina prysznicowa, umywalka z szafką, WC, szafka z lustrem, słupek wiszący), w pełni wyposażony aneks kuchenny (lodówka z zamrażalnikiem, kuchenka mikrofalowa, zmywarka 60 cm, okap kuchenny).
Jest kanapa 2 osobowa, rozkładana, stolik drewniany z krzesłami, szafa na ubrania i szafka RTV.
Dostępny internet światłowodowy i TV kablowa.
Czynsz najmu 2500 zł + 400 zł opłaty do spółdzielni (w przypadku przekroczenia zaliczek, dopłata wg faktycznego zużycia). Wymagana kaucja 3000 zł.
Rozliczenie prądu wg wskazań licznika raz na 3 miesiące.
Pralka w korytarzu w szafie w zabudowie (widoczna na zdjęciach) - dużo miejsca na powieszenie ubrań na drążku i półek.
Pierwsza umowa na czas określony do 30.09.2025 r. z możliwością przedłużenia na następne 12 miesięcy.",https://www.otodom.pl/pl/oferta/kawalerka-18-m2-na-goclawiu-nowa-petla-goclaw-ID4w2Ka
Mieszkanie 3-pokojowe Ząbki BEZ DODATKOWYCH OPŁAT,"5 500 zł
/miesiąc","63m²
3 pokoje",1/2,gazowe,do zamieszkania,,5 500 zł,biuro nieruchomości,"balkon
ogródek
garaż/miejsce parkingowe","ul. Skowronka, Ząbki, wołomiński, mazowieckie",52.281426,21.106499,False,2024,nie,szeregowiec,,"zmywarka
lodówka
meble
piekarnik
kuchenka
pralka
klimatyzacja","telewizja kablowa
internet",drzwi / okna antywłamaniowe,"(None,)","Do wynajęcia nowe przestronne mieszkanie na kameralnym osiedlu o powierzchni 63m, Ząbki ul. Skowronka Nieruchomość złożona z: * salon z aneksem kuchennym * 2 oddzielnych sypialni * łazienki * mieszkanie wyposażone w podstawowe wyposażenie: stół z krzesłami; narożnik ; łóżko, szafy wbudowane, lodówka, piekarnik, zmywarka, pralka, klimatyzacja Reszta przestrzeni do własnej aranżacji. Możliwość aktywacji alarmu we własnym zakresie (w mieszkaniu rozprowadzona i podłączona instalacja) MIEJSCE POSTOJOWE W CENIE + OGRÓDEK Okres najmu jeden rok, w formie umowy najmu okazjonalnego (regres u notariusza konieczny) Cena wynajmu: 5500 zł/miesiąc ( media w cenie ) Internet, telewizja we własnym zakresie + jednorazowa kaucja zwrotna( miesięczny czynsz ) Zapraszam do kontaktu",https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-zabki-bez-dodatkowych-oplat-ID4uZIB
CICHA JASNA FUNKCJONALNA Kawalerka po remoncie!,"1 350 zł
/miesiąc","13m²
Wynajmę również studentom
1 pokój
tylko dla niepalących",1/4,miejskie,do zamieszkania,,1 800 zł,prywatny,"piwnica
tylko dla niepalących","ul. Józefa Dwernickiego, Grochów, Praga-Południe, Warszawa, mazowieckie",52.250074,21.084139,False,1957,nie,blok,,"lodówka
meble
piekarnik
kuchenka
pralka",,"drzwi / okna antywłamaniowe
domofon / wideofon","(None,)","Wyjątkowo:
- CICHA (nowe, antywłamaniowe drzwi i okno o najwyższych parametrach wyciszenia, brak lokali usługowych w budynku i w najbliższych, niezwykle cisi sąsiedzi, tylko dwóch na piętrze) i PRZYTULNA (ustawny pokój z pięknym dębowym parkietem, w pełni wyposażona łazienka i komfortowy aneks kuchenny),
- JASNA (bardzo duże okno, najbliższe, niskie budynki ponad 60 metrów od niego) i CIEPŁA (dobrze doświetlona, budynek ocieplony, tylko jedna ściana zewnętrzna),
- FUNKCJONALNA (bardzo pojemny pawlacz, duży blat przy oknie, wanna z prysznicem, nowe, pełnowymiarowe AGD: płyta indukcyjna, piekarnik z mikrofalówką, pralka i najcichsza na rynku lodówko-zamrażarka No Frost) i DOBRZE SKOMUNIKOWANA (w okolicy przystanki ok. 20 linii autobusów i 6 tramwajów, a z nich dojazd do stacji metra Centrum/na Dworzec Centralny jedynie w 15/20 minut, a na Dworzec Wschodni - tylko w 10 minut!)
kawalerka
- świeżo odremontowana wysokiej jakości materiałami, z wymienioną instalacją elektryczną, nową rozdzielnią i doprowadzonym do budynku Internetem/TV,
- możliwość uzupełnienia wyposażenia o krzesło/a, łóżko i/lub sofę oraz dodatkową szafę,
- na pierwszym piętrze, z suchą, czystą i bezpieczną komórką lokatorską w piwnicy oraz stojakiem na rower tuż przy klatce,
- z darmowymi parkingami blisko budynku, na których zawsze można znaleźć miejsca,
- z ośrodkami kultury, zdrowia (apteki, przychodnie, szpital), sklepami (w tym dwoma galeriami handlowymi i bazarkiem), lokalami usługowymi, obiektami sportowo-rekreacyjnymi (m.in. siłownie, boiska, korty tenisowe, ścianki wspinaczkowe, hale i stadiony sportowe) oraz parkami jedynie 5-10 minut spacerem!,
- z dojazdem komunikacją miejską na Uniwersytet SWPS i Wojskowy Instytut Medyczny w 5-10 minut, a na Uniwersytet Warszawski, Politechnikę Warszawską i SGH - w jedynie w pół godziny!
Dostępna, do wprowadzenia od nowego miesiąca. Najem bezpośrednio od właściciela, 1350 zł miesięcznie + czynsz administracyjny z wliczonymi zaliczkami na poczet mediów oraz fundusz remontowy 450 zł + energia elektryczna w zależności od zużycia.
Kaucja 1800 zł. Najem okazjonalny, z preferencją najemcy długoterminowego. Umowa początkowo do końca września 2025, z możliwością zawierania kolejnych, 12-miesięcznych. Preferowany najemca, który może uzyskać certyfikat najemcy: simpl.rent/najemca/certyfikat-najemcy/
Treść ogłoszenia nie stanowi oferty handlowej w rozumieniu KC.
Agencje i innych pośredników zapraszam jedynie z klientem, który zapłaci Państwa prowizje.
Zapraszam do kontaktu i na prezentację!",https://www.otodom.pl/pl/oferta/cicha-jasna-funkcjonalna-kawalerka-po-remoncie-ID4w35O
"Modern, spacious 2 rooms apart.- Wilanów","3 500 zł
/miesiąc","46m²
2 pokoje",3/3,miejskie,do zamieszkania,2025-02-20,4 500 zł,biuro nieruchomości,garaż/miejsce parkingowe,"Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",52.159872,21.081978,True,2014,tak,apartamentowiec,monitoring / ochrona,"meble
lodówka
piekarnik
zmywarka
kuchenka",,domofon / wideofon,"(None,)","Modern, 2 rooms apartment located on Kazachska Street, Miasteczko Wilanów.

Spacious (46m2) apartment located on 3rd floor with elevator, ( high ceiling) with balcony.
Living room with open kitchen annex and separated bedroom, bathroom with shower.
Living room with sofa, kitchen island, TV ( will be provided), table with chairs ( will be provided). Bedroom with double bed, wardrobe. Bathroom with shower, washing machine.
Kitchen fully equipped ( dishwasher, oven, induction, big fridge with frezeer).
Building with security and cameras from 2014 year.
The apartment is located in an excellent location in Wilanów, which guarantees comfortable living thanks to the proximity of the most important service and recreational points.
Grocery stores, restaurants, cafeterias. Also close to the the park. Near bus stop and tram.

Payments: 3500PLN + administrative rent around 730PLN + electricity
Deposit
* family parking available 300 PLN per month additionally.


*CONTACT: Iwona Skontaktuj się
Whatsapp:Skontaktuj się

* as a real estate agency we charge a commission


Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/modern-spacious-2-rooms-apart-wilanow-ID4w393
2-pokojowe 40 m2 / Mokotów ul. Św. Bonifacego,"2 000 zł
/miesiąc","40m²
2 pokoje",5/10,miejskie,do zamieszkania,,2 600 zł,biuro nieruchomości,balkon,"ul. św. Bonifacego, Sadyba, Mokotów, Warszawa, mazowieckie",52.18275,21.057427,False,1980,tak,blok,,"lodówka
meble
piekarnik
kuchenka
pralka",internet,domofon / wideofon,"(None,)","Dla 1 osoby, niepalącej i bez zwierząt. 
Funkcjonalne mieszkanie przy ul. Świętego Bonifacego, blisko Centrum Handlowego Sadyba Best Mall i Jeziorka Czerniakowskiego. Okolica cicha i spokojna, blisko sklepy, bazarek i różne punkty handlowo usługowe.
Bardzo dobra komunikacja - szybki dojazd do centrum. 
Rozkład:
- salon
- kuchnia otwarta na salon
- sypialnia z szafą
- łazienka z wanną
- przedpokój
- garderoba 
Mieszkanie w bardzo dobrym stanie. Pokoje umeblowane, wyposażona kuchnia i łazienka (lodówka, pralka, piekarnik). Wnętrze ciepłe i ciche.
Budynek oddalony od ulicy, w drugiej lini zabudowy. Wymienione instalacje, ocieplony - nowa elewacja, nowa winda.
Zachęcam do obejrzenia
Cena 2000 + 600 czynsz administracyjny, dodatkowo płatne opłaty licznikowe.
IDEA nieruchomości
W razie braku kontaktu, proszę wysłać SMS o treści ""Bonifacego"" - oddzwonię.",https://www.otodom.pl/pl/oferta/2-pokojowe-40-m2-mokotow-ul-sw-bonifacego-ID4w2PZ
2 Pokoje W Miasteczku Wilanów Z Garażem Spacer 3D,"3 350 zł
/miesiąc","43m²
2 pokoje",2/4,miejskie,do zamieszkania,,4 200 zł,biuro nieruchomości,"balkon
garaż/miejsce parkingowe","ul. Oś Królewska, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",52.16644,21.07289,False,2016,tak,apartamentowiec,,"meble
piekarnik
lodówka
pralka
zmywarka",,,"(None,)","Do wynajęcia nowoczesny 2 pokojowy apartament w miasteczku Wilanów, położony na kameralnym, ogrodzonym osiedlu z monitoringiem i ochroną przy ul Oś Królewska. Na powierzchnię 43m2 składa się salon z otwartą kuchnią,  sypialnia,  hall, pomieszczenie gospodarcze, łazienka i loggia. Duże okna zapewniają doskonałe doświetlenie, pojemne szafy i garderoba pozwalają na wygodne przechowywanie. Mieszkanie ciche i bardzo przytulne. AGD: pralka, lodówka, zmywarka.
Do mieszkania przynależy miejsce parkingowe w garażu podziemnym w cenie
Czynsz najmu 3350 zł
Dodatkowe opłaty to czynsz administracyjny 770 zł i prąd
Kaucja 4200 zł

Doskonała infrastruktura liczne sklepy, delikatesy, bistra , kawiarnie i restauracje. Bardzo dobra komunikacja autobus : 217,522, szybki dojazd do metra Wilanowska. 
Zapraszam do zobaczenia mieszkania na żywo lub na wirtualny spacer :




Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego.",https://www.otodom.pl/pl/oferta/2-pokoje-w-miasteczku-wilanow-z-garazem-spacer-3d-ID4w3eb
