title,rent_price,area_room_num,floor,ogrzewanie,flat_condition,available_from,deposit,advertiser_type,additional_information,location,latitude,longitude,approximate_coordinates,year_of_construction,elevator,building_type,security,equipment,utilities,safeguards,announcement_date,adv_description,link
85 m2 na Bemowie z dużym balkonem + garderoba,"3 200 zł
/miesiąc","85m²
3 pokoje",4/5,,,,,biuro nieruchomości,"balkon
garaż/miejsce parkingowe","ul. Zaborowska, Górce, Bemowo, Warszawa, mazowieckie",52.243481,20.920472,False,1997,nie,blok,monitoring / ochrona,,,,"('Aktualizacja: 6.01.2025\nDodano: 6.01.2025\nID: 66285280\nZgłoś',)","3 pokojowe mieszkanie znajdujące się Bemowie przy ul. Zaborowskiej.
Najem okazjonalny
OPŁATY
Łączna cena najmu 4100 zł
Cena najmu 3200 zł + 900 zł czynsz administracyjny + prąd i gaz.
BUDYNEK
Mieszkanie znajduje się na czwartym piętrze w niskim budynku bez windy w otoczeniu zieleni. Przed budynkiem znajdują się ogólnodostępne miejsca parkingowe.
NIERUCHOMOŚĆ
Mieszkanie o powierzchni 84,5 m2 składa się z:
- przestronnego pokoju z wyjściem na balkon
- 2 pokoi
- oddzielnej, widnej kuchni
- łazienki z oknem
- WC
- garderoby
- przedpokoju
Mieszkanie jest umeblowane i w pełni wyposażone (lodówka, pralka, piekarnik z płytą gazową, tv).
W przedpokoju znajduje się duża szafa w zabudowie, dodatkowo jest garderoba/schowek. Do każdego pokoju wejście z korytarza.
Bardzo dobrze rozwinięta infrastruktura usługowo-handlowa, w pobliżu znajdują się liczne sklepy Biedronka, Żabka, cukiernia, piekarnia, fryzjer, Wola Park, siłownia, przychodnia.
10 minut metro Bemowo
Zapraszam na prezentację nieruchomości
W razie zainteresowania prosimy o kontakt:
Skontaktuj się, Skontaktuj się
Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego.
Podana ulica nieruchomości przy ogłoszeniu ma na celu wskazania przybliżonej lokalizacji z dużą dokładnością.
Bezpłatnie pomagamy znaleźć najkorzystniejszą na rynku ofertę kredytową.
Na życzenie w ramach prezentacji nieruchomości możliwość przeprowadzenia przez firmę budowlaną oceny stanu mieszkania i wycenę remontu.
Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()",https://www.otodom.pl/pl/oferta/85-m2-na-bemowie-z-duzym-balkonem-garderoba-ID4u7Pq
"Mieszkanie 36 m2 przytulne, przy Hali Mirowskiej","3 600 zł
/miesiąc","36m²
Wynajmę również studentom
1 pokój",3,miejskie,,,3 600 zł,prywatny,piwnica,"ul. Elektoralna, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",,,False,,nie,blok,,"lodówka
meble
piekarnik
kuchenka
pralka","telewizja kablowa
internet",domofon / wideofon,"('Aktualizacja: 2.01.2025\nDodano: 2.01.2025\nID: 66276180\nZgłoś',)","Do wynajęcia bezpośrednio przytulne mieszkanie 36 m2, WARSZAWA, Elektoralna, blisko Hali Mirowskiej
Do wynajęcia przytulne, czyste i funkcjonalne mieszkanie o powierzchni 36 m2, lokalizowane w doskonałym punkcie komunikacyjnym, w ścisłym Centrum Warszawa, przy ul. Elektoralnej.
Lokalizacja idealna dla osób doceniających doskonały dojazd w każde miejsce stolicy, bliskość Parku Saskiego, sąsiedztwo Hali Mirowskiej oraz Placu Bankowego (metro Ratusz Arsenał).
Mieszkanie znajduje się na 3 piętrze w trzy piętrowym budynku. Składa się salonu, kuchni, łazienki oraz funkcjonalnego korytarza. Dodatkowo w mieszkaniu znajduje się oddzielna spiżarnia. Mieszkanie jest w pełni umeblowane. Do mieszkanie przynależy również piwnica.
  Czynsz w cenie wynajmu. Ewentualne dodatkowe koszty to ponadnormatywne opłaty licznikowe za prąd, wodę oraz gaz.
Dodatkowo kaucja w wysokości jednomiesięcznego czynszu. ",https://www.otodom.pl/pl/oferta/mieszkanie-36-m2-przytulne-przy-hali-mirowskiej-ID.4u5sE
"Pokój z oddzielną kuchnią na Pradze, REZERWACJA!!!","2 200 zł
/miesiąc
+ Czynsz 400 zł","35.5m²
1 pokój
tylko dla niepalących",parter/3,miejskie,do zamieszkania,,2 600 zł,biuro nieruchomości,"piwnica
tylko dla niepalących","ul. Kobielska, Grochów, Praga-Południe, Warszawa, mazowieckie",52.247427,21.081891,False,1937,nie,kamienica,teren zamknięty,"lodówka
meble
kuchenka
pralka","telewizja kablowa
internet","drzwi / okna antywłamaniowe
domofon / wideofon","('Aktualizacja: 6.01.2025\nDodano: 5.01.2025\nID: 66282429\nZgłoś',)","Szanowni Państwo!
Mieszkanie w przedwojennym budynku z klimatem na ogrodzonej posesji przy ul. Kobielskiej
Dostępne od zaraz!

Praga Płn/ul. Kobielska/1 pokój/oddzielna kuchnia/35,6m²/parter/ogrodzony teren.

W pełni wyposażone mieszkanie, pokój z kuchnią, łazienką, przedpokojem, do dyspozycji dość obszerna piwnica.

Mieszkanie składa się z:
- oddzielna kuchnia zabudowana szafkami (płyta gazowa, zlewozmywak, lodówka, pralka)
- pokój duży jasny, duże okno (
system mebli Bolden BRW, cztery krzesła, stół, biurko, szafa dwudrzwiowa, komoda, regał dwudrzwiowy, szafka, sofa
- przedpokoju z zabudowaną szafą
- łazienki z toaletą (kabina prysznicowa)
- piwnica ok 2m2
W sąsiedztwie: pełna infrastruktura wielkomiejska.
Okolica bardzo dobrze skomunikowana - w pobliżu przystanek tramwajowy, autobusowy; przy samym parku Obwodu Praga AK, Sinfonia Varsovia, sklep Biedronka po drugiej stronie ulicy. 
Cena: 2200,00 zł + zaliczki na media ok. 390,00 zł + prąd.

Wymagana jednomiesięczna kaucja 2600PLN.

Chętnie widziane pupile (pieski, kotki).
Zapraszam na prezentację",https://www.otodom.pl/pl/oferta/pokoj-z-oddzielna-kuchnia-na-pradze-rezerwacja-ID4u75r
Wynajem mieszkania 38m,"1 900 zł
/miesiąc","38m²
1 pokój",3,,,,1 zł,prywatny,,"Szczęśliwice, Ochota, Warszawa, mazowieckie",52.20997,20.96727,True,,nie,blok,,"zmywarka
lodówka
meble
piekarnik
kuchenka
telewizor
pralka","telewizja kablowa
internet
telefon",,"('Aktualizacja: 6.01.2025\nDodano: 6.01.2025\nID: 66285192\nZgłoś',)","Cena jest aktualna!
dostępne do obejrzenia
Wynajmę komfortową kawalerkę
Mieszkanie jest w pełni umeblowane i wyposażone w sprzęt AGD.
Mieszkanie jest słoneczne i przytulne.
W mieszkaniu znajduje się 2-osobowa sofa, łóżko.
Wygodna łazienka
Doskonała lokalizacja. Blisko przystanek autobusowy, dużo sklepów.",https://www.otodom.pl/pl/oferta/wynajem-mieszkania-38m-ID4u7O0
Kawalerka przy Metrze Pole Mokotowskie ul. Bruna,"1 800 zł
/miesiąc
+ Czynsz 500 zł","30m²
Wynajmę również studentom
1 pokój",5/10,miejskie,do zamieszkania,2025-01-06,2 300 zł,biuro nieruchomości,"piwnica
pom. użytkowe","ul. Giordana Bruna, Stary Mokotów, Mokotów, Warszawa, mazowieckie",52.20968,21.006382,False,1968,tak,blok,,"lodówka
meble
piekarnik
kuchenka
telewizor
pralka","telewizja kablowa
internet
telefon","drzwi / okna antywłamaniowe
domofon / wideofon","('Aktualizacja: 6.01.2025\nDodano: 6.01.2025\nID: 66285404\nZgłoś',)","Jednopokojowe mieszkanie przy ulicy Bruna o powierzchni 30 m2 tuż przy Polach Mokotowskich.
Zadbane mieszkanie jednopokojowe po remoncie do wynajęcia przy ulicy Bruna tuż obok stacji metra Pole Mokotowskie.

Mieszkanie w pełni umeblowane z pełnym sprzętem gospodarstwa domowego.
Aneks kuchenny wyposażony w płytę indukcyjną, piekarnik elektryczny, lodówkę w zabudowie.
W przedpokoju szafa zabudowana z lustrem, regał oraz szafka na buty.
Łazienka wyposażona w kabinę prysznicową, pralkę, WC oraz umywalkę.
Wszystko czyste i schludne.
50 metrów stacja metra Pole Mokotowskie.
Mieszkanie bez balkonu.
Piętro 5 z 10 z windą.
Dojazd do centrum około 7 minut metrem, dobra komunikacja z pozostałymi dzielnicami miasta (metro, tramwaje, autobusy).
Tuż obok park Pole Mokotowskie.
Przyjemna i bezpieczna okolica.
Do mieszkania przynależy komórka lokatorska.
Możliwy wynajem na krótszy i dłuższy termin.
Mieszkanie dostępne od zaraz. Późniejszy termin najmu do uzgodnienia indywidualnie.
Mieszkanie przyjazne dla zwierzaków.
Ogólnodostępny parking przy budynku (strefa płatnego parkowania).
Całkowita miesięczna kwota najmu: 2300 zł + liczniki (prąd, woda) według zużycia.
Cena zawiera czynsz administracyjny.
Wymagana kaucja zwrotna 2300 zł.
Zapraszam do kontaktu w dni robocze od godziny 9.
Treść ogłoszenia nie stanowi oferty w rozumieniu Kodeksu Cywilnego.
Jeśli poszukujesz mieszkania w jednej z najlepszych lokalizacji Warszawy, z klimatem starszego budownictwa, które łączy wygodę, nowoczesność i doskonałą komunikację – to mieszkanie jest idealnym wyborem dla Ciebie.",https://www.otodom.pl/pl/oferta/kawalerka-przy-metrze-pole-mokotowskie-ul-bruna-ID4u7Rq
"Rzymowskiego, Blisko Galeria Mokotów","2 400 zł
/miesiąc
+ Czynsz 500 zł","23m²
1 pokój",parter/8,,do zamieszkania,2025-01-06,3 300 zł,biuro nieruchomości,piwnica,"ul. Wincentego Rzymowskiego, Służew, Mokotów, Warszawa, mazowieckie",52.17396,21.00201,False,1980,nie,,,meble,,,"('Aktualizacja: 6.01.2025\nDodano: 6.01.2025\nID: 66285533\nZgłoś',)","*** Mieszkanie dla jednej osoby/jest już dostępne ***

Oferuję do wynajęcia kawalerkę znajdującą się na pierwszej kondygnacji budynku przy ulicy Rzymowskiego 47. Okna wychodzą na ciche podwórze. Lokal składa się z pokoju, samodzielnej kuchni, łazienki oraz przedpokoju. 

Zostało jest wyposażone w meble i sprzęt AGD widoczny na zdjęciach.

Cena 2400 pln + czynsz 500 pln + prąd i gaz
W cenie internet oraz zaliczka na wodę. 
Wymagana kaucja  w wys. 3300 pln. 
Mieszkanie tylko dla niepalących.

Biuro nieruchomości przy wynajmie (po zawarciu umowy) pobiera wynagrodzenie w wys. 1500 pln (z vat). 

Zapraszam na prezentację.
Klucze w biurze.",https://www.otodom.pl/pl/oferta/rzymowskiego-blisko-galeria-mokotow-ID4u7Tw
"Mieszkanie, garaż i piwnica. 150 m od Metra Kabaty","3 500 zł
/miesiąc
+ Czynsz 925 zł","50.4m²
2 pokoje
tylko dla niepalących",1/4,miejskie,do zamieszkania,,5 000 zł,prywatny,"balkon
garaż/miejsce parkingowe
piwnica
tylko dla niepalących
oddzielna kuchnia
pom. użytkowe","ul. Melchiora Wańkowicza 2, Kabaty, Ursynów, Warszawa, mazowieckie",52.132664,21.067179,False,2000,nie,blok,"teren zamknięty
monitoring / ochrona","zmywarka
lodówka
meble
piekarnik
kuchenka
telewizor
pralka","telewizja kablowa
internet
telefon","drzwi / okna antywłamaniowe
domofon / wideofon","('Aktualizacja: 6.01.2025\nDodano: 6.01.2025\nID: 66283747\nZgłoś',)","Wynajmę mieszkanie 50,4 m2
W cenie najmu duże miejsce postojowe (16,7 m2) w garażu podziemnym na poziomie -2 oraz komórka lokatorska (3,1 m2)
Doskonała lokalizacja. 150 metrów od metra Kabaty.
Mieszkanie ciche, zlokalizowane na 1 piętrze w 4-piętrowym bloku.  
Mieszkanie po remoncie. 
Mieszkanie składa się z:

• Salonu 17,03 m2
• Sypialni 12,36 m2
• Kuchni 8,91 m2
• Łazienki z wc 4,28 m2
• Przedpokoju 7,83 m2
• Balkonu 3,4 m2

Mieszkanie umeblowane jak na zdjęciach. Możliwość doposażenia m.in. TV.
W sypialni i przedpokoju duże praktyczne szafy.
Nowe meble oraz nowe wyposażenie agd: lodówka, pralka, zmywarka i mikrofalówka.
W salonie, sypialni i na przedpokoju dębowy parkiet.
Koszt najmu – 3500 zł + 925 zł czynsz + opłaty licznikowe wg. zużycia (prąd i gaz)

Kaucja w wysokości 5 000 zł

Wynajem na minimum 12 miesięcy. 
Umowa najmu okazjonalnego.

Preferowane osoby niepalące i bez zwierząt.

Mieszkanie dostępne od zaraz.
Pośrednikom dziękuję, tylko najem bezpośredni.
Zapraszam do kontaktu.",https://www.otodom.pl/pl/oferta/mieszkanie-garaz-i-piwnica-150-m-od-metra-kabaty-ID4u7qH
Stylowy Apartament przy Placu Narutowicza,"3 900 zł
/miesiąc
+ Czynsz 735 zł","44m²
1 pokój
tylko dla niepalących",4/7,,do zamieszkania,,5 000 zł,prywatny,"balkon
garaż/miejsce parkingowe
tylko dla niepalących","ul. Barska, Stara Ochota, Ochota, Warszawa, mazowieckie",52.219108,20.9775,False,2021,tak,apartamentowiec,monitoring / ochrona,"zmywarka
lodówka
meble
piekarnik
kuchenka
pralka",,domofon / wideofon,"('Aktualizacja: 6.01.2025\nDodano: 2.01.2025\nID: 66276462\nZgłoś',)","Do wynajęcia apartament na prestiżowej Starej Ochocie w kameralnym budynku ,,Rezydencja Barska’’ przy ul. Barska 26 (oddany do użytku w listopadzie 2020 roku).
Apartament ma pow. 44m znajduje się na 4 piętrze w nowym 7 piętrowym budynku z recepcją, ochroną i monitoringiem.
Okna wychodzą na zachód, jest bardzo cicho. Apartament typu-studio; przestrzenne, otwarte składające się z salonu z aneksem kuchennym połączonym z jadalnią, częścią wypoczynkową , przedpokoju, łazienki. Urządzone w bardzo wysokim standardzie (nie Ikea), wszystkie sprzęty są nowe. Mieszkanie i zabudowa meblowa zaprojektowana przez architekta, wykonana na zamówienie. Podłoga drewniana jodełka francuska, w oknach żaluzje drewniane. Kuchnia wyposażona w nowe AGD, łazienka w nową pralkę. Duży balkon. Możliwość oddzielenia sypialni za uzgodnieniem.
W apartamentowcu znajduje się rowerowania, Carrefour, piekarnia, 50 m do sklepu samoobsługowego w Hali Kopińskiej.
  Doskonała lokalizacja z okien widoczna Hala Kopińska, przy której znajdują się przystanki autobusowe 1 min. pieszo. Plac Narutowicza w odległości 450m (5 min. pieszo) z węzłem tramwajowym i autobusami, a także kawiarniami, knajpkami, sklepami ,apteką. Niedaleko Biedronka (7min pieszo), Rossman.
Stacja benzynowa BP, paczkomat – 1 min. pieszo
W pobliżu centra handlowe Blue City, Reduta, dworzec Zachodni, do których jest b. dobra komunikacja (1 przystanek, 10 min pieszo – dworzec Zachodni).
Blisko do ścisłego Centrum , Złotych Tarasów i dworca Centralnego (4 przystanki), odległość do centrów biurowych  zlokalizowanych wzdłuż Al. Jerozolimskich 200m.
10 min pieszo basen
5 min pieszo siłownia przy AL. Jerozolimskich
550m teatr
Liczne tereny zielone:
600m park Zachodni nieco dalej park Wielkopolski, park Szczęśliwicki, Pole Mokotowskie.
Nieco dalej Hala Banacha, Zieleniak – 1 km
Łatwy dojazd na lotnisko.
Umowa najmu okazjonalnego.
Koszt najmu 4000 zł + czynsz administracyjny ok. 730 zł zawierający zaliczki za wodę, ogrzewanie, wywóz śmieci. Dodatkowo płatne faktury za prąd i Internet. Obowiązuje kaucja w wysokości 5000 zł.
Możliwość parkowania, w garażu podziemnym za dodatkową opłatą.",https://www.otodom.pl/pl/oferta/stylowy-apartament-przy-placu-narutowicza-ID4u5xc
Apartament Premium 45m2 2-pok Ochota klimatyzacja,"5 500 zł
/miesiąc
+ Czynsz 1 000 zł","45m²
2 pokoje",4/6,miejskie,do zamieszkania,,,prywatny,"balkon
garaż/miejsce parkingowe","ul. Szczęśliwicka 54, Stara Ochota, Ochota, Warszawa, mazowieckie",52.216281,20.970446,False,2018,tak,apartamentowiec,"teren zamknięty
monitoring / ochrona","zmywarka
lodówka
meble
piekarnik
kuchenka
telewizor
pralka
klimatyzacja","telewizja kablowa
internet","system alarmowy
drzwi / okna antywłamaniowe
domofon / wideofon","('Aktualizacja: 6.01.2025\nDodano: 6.01.2025\nID: 66284761\nZgłoś',)","Piękne urządzony, klimatyzowany 2 -pokojowy apartament w części starej Ochoty w budynku Dom Awangarda.
Mieszkanie na 4 piętrze 6- piętrowego apartamentowca, orientacja okien na południowy zachód.
Apartament o powierzchni 45 m2  wykończony w wysokim standardzie.  
Okna panoramiczne drewniane. W całym mieszkaniu podłoga z deski dębowej .

Sypialnia komfortowo urządzona z dużym łóżkiem 160x200.
Przestronna wewnątrz oświetloną szafa z licznymi półkami i szufladami.
Również do dyspozycji jest biurko oraz telewizor Smart TV  43 cale. 

Aneks kuchenny w pełni wyposażony w małe i duże AGD.
Meble z lakierowanymi frontami w połączeniu z drewnem i wysokiej klasy sprzęt AGD marki Samsung i Siemens  (piekarnik z funkcją mikrofali, lodówka NO Frost, zmywarka, okap oraz płyta indukcyjna ). Armatura sanitarna Hansgrohe.

Salon posiada klimatyzację, rozkładaną wygodną kanapę z funkcją spania codziennego, telewizor Smart TV 65 cali, Soundbar z radiem , stół drewniany z 4 krzesłami, zasłona na okna w 100% zacieniającą światło.

Do  apartamentu przynależna jest loggia wraz z zestawem wypoczynkowych ( stolik + 2 krzesła) 

Łazienka wykonana została w nowoczesnym i funkcjonalnym stylu.
Cała armatura marki Vileroy&Boch oraz Hannsgrohe.
Duża kabina natryskowa z nowoczesnym prysznicem oraz pralko- suszarka podwyższają dodatkowo standard mieszkania.

W przedpokoju znajduje się duża szafa z lustrem. 

 
Do apartamentu przynależne jest miejsce postojowe w garażu podziemnym - możliwość osobnego wynajmu 450 PLN.

W budynku znajduje się recepcja z ochroną , restauracja, fryzjer, salon kosmetyczny, centrum rehabilitacji, punk Inpost oraz sklep spożywczy .

Zalety lokalizacji :
Ciche okoliczne uliczki , bezpośrednie sąsiedztwo dwóch parków  - Parku Pięciu Sióstr oraz Parku Szczęśliwickiego 
Dogodna komunikacja miejska, bliska odległość do Dworca Zachodniego. 
Centrum miasta na wyciągnięcie ręki. 

Wynajem bezpośredni

Cena : 5500 zł +1000 zł czynsz administracyjny
Kaucja gwarancyjna 2 miesięczny czynsz 

Kontakt: Daniel  
Skontaktuj się",https://www.otodom.pl/pl/oferta/apartament-premium-45m2-2-pok-ochota-klimatyzacja-ID4u7H3
Urocza kawalerka na zielonym Żoliborzu [EN],"2 979 zł
/miesiąc
+ Czynsz 551 zł","28.81m²
Wynajmę również studentom
1 pokój",2/2,miejskie,do zamieszkania,,,prywatny,piwnica,"ul. Stanisława Wyspiańskiego, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",52.264428,20.980415,False,1953,nie,kamienica,,"zmywarka
lodówka
meble
piekarnik
kuchenka
pralka",internet,domofon / wideofon,"('Aktualizacja: 6.01.2025\nDodano: 5.01.2025\nID: 66283247\nZgłoś',)","[ENGLISH BELOW]
Lokalizacja
Zapraszam do wynajmu mieszkania zlokalizowanego na Starym Żoliborzu, w pobliżu licznych parków, sklepów oraz komunikacji miejskiej. Idealne dla osób ceniących sobie z jednej strony wygodę i bliskość do centrum, z drugiej strony ciszę i spokój oraz zielone otoczenie.
Siłownia: 210 m
Sklep osiedlowy: 210 m
Sklep wielkopowierzchniowy (dyskont): 650 m
CH Arkadia: 1000 m
Przystanek Pl. Grunwaldzki 04: 380 m
Metro Pl. Wilsona: 750 m
Szczegóły
Mieszkanie o powierzchni 28.81 m² składa się z:
Salonu/sypialni: Jasny i przestronny, z dużymi drewnianymi oknami, które zapewniają naturalne światło. Wyposażony w komfortową sofę-łóżko, komodę, szafę wielkopowierzchniową oraz stolik kawowy.
Kuchni: W pełni wyposażona kuchnia z nowoczesnymi sprzętami AGD (lodówka, piekarnik, płyta indukcyjna, zmywarka), a także naczyniami i akcesoriami kuchennymi.
Łazienki: Elegancka łazienka z prysznicem, umywalką, toaletą oraz pralką. Wysokiej jakości wykończenia zapewniają komfort użytkowania.
Dodatkowe informacje
Internet: możliwy dostęp do internetu Wi-Fi 300 mb/s (+55 PLN/msc).
Warunki wynajmu
Czynsz: 2979 PLN/msc.
Koszty administracji: 551 PLN/msc (+prąd ok. 60 zł/msc wg zużycia).
Kaucja: Wymagana kaucja w wysokości jednomiesięcznego czynszu.
Okres wynajmu: Minimum 6 miesięcy.
Kontakt
Zapraszam do kontaktu w celu umówienia się na prezentację mieszkania. To idealna okazja dla osób szukających komfortowego miejsca do życia w atrakcyjnej lokalizacji.
Niniejsze ogłoszenie nie stanowi oferty w rozumieniu Kodeksu Cywilnego, lecz ma charakter informacyjny.
---
Location
Apartment for rent located in the Old Żoliborz district, close to numerous parks, stores and public transportation. Ideal for people who appreciate, on the one hand, convenience and proximity to the center, on the other hand, peace and quiet and green surroundings.
Gym: 210 m
Convenience store: 210 m
Large-format store (discount store): 650 m
CH Arkadia: 1000 m
Stop Pl. Grunwaldzki 04: 380 m
Metro Pl. Wilsona: 750 m
Details
The 28.81 m² apartment consists of:
Living room/bedroom: Bright and spacious, with large wooden windows that provide natural light. Furnished with a comfortable bed-sofa, dresser, large closet and coffee table.
Kitchen: Fully equipped kitchen with modern appliances (refrigerator, oven, induction hob, dishwasher), as well as kitchenware and accessories.
Bathroom: Elegant bathroom with shower, sink, toilet and washing maschine. High-quality finishes ensure comfort.
Additional information
Internet: possible access to Wi-Fi 300 mbps (+55 PLN/month).
Rental conditions
Rent: 2979 PLN/month.
Administration costs: 551 PLN/month (+electricity approx. 60 PLN/month according to consumption).
Deposit: Required deposit of one month's rent.
Rental period: Minimum 6 months.
Contact
Feel free to contact me to arrange a presentation of the apartment. This is an ideal opportunity for those looking for a comfortable place to live in an attractive location.
This ad does not constitute an offer within the meaning of the Civil Code, but is for informational purposes only.",https://www.otodom.pl/pl/oferta/urocza-kawalerka-na-zielonym-zoliborzu-en-ID.4u7iD
